id,element,type,outboundDegree, inboundDegree
360,Photo screen,boundary,0,1
361,Tap a icon on navigation bar,control,1,1
362,display  log in screen,control,1,1
363,display event screen,control,1,1
364,display photo screen,control,1,1
365,display profile screen,control,1,1
366,display search screen,control,1,1
367,event screen,boundary,0,1
368,is  user logged in?,control,5,1
369,profile screen,boundary,0,1
370,search screen,boundary,0,1
371,Actor,actor,2,0
372,Create Event Screen,boundary,2,2
373,Create new event with hashtag,control,3,2
374,Event,entity,0,1
375,Event Collection,entity,0,1
376,Handle Creation Error,control,1,2
377,Set Password Screen,boundary,1,3
378,Actor,actor,4,0
379,List Mutator,control,1,3
380,Location Screen,boundary,1,2
381,Perform Default Search,control,2,1
382,Perform Select Range Search,control,2,1
383,Photo Database,entity,0,1
384,Photo Database,entity,0,1
385,Photo Search Result List,entity,0,1
386,Photo Search Result List View,boundary,1,2
387,Photo View,boundary,1,2
388,Range Buttons(Default myhome),boundary,1,2
389,User Directed to View Photo Use Case,control,0,1
390,Actor,actor,3,0
391,Event Collection,entity,2,2
392,Perform Default Search,control,1,2
393,Pop up Server Error Message,control,1,1
394,Pop up daabase Error Message,control,1,1
395,Search API,control,3,1
396,Search Event Homepage,boundary,1,4
397,Search Result Page,boundary,1,3
398,Show Empty Result Page,boundary,1,2
399,Valid Input Text,control,1,2
400,Actor,actor,4,0
401,Event Collection,entity,1,1
402,Photos in the event,entity,2,1
403,Search Event,boundary,1,3
404,Search Result Page,boundary,1,3
405,Search(back-end),control,1,2
406,Select an event,control,1,1
407,Upload finished,control,1,1
408,can't access server,control,2,0
409,confirm,boundary,1,3
410,confirm upload,control,1,1
411,enter search item and search,control,1,2
412,failed to upload,control,1,1
413,prepare resullt,control,1,1
414,result,boundary,0,2
415,search & upload,control,2,0
416,upload choice,boundary,0,3
417,Actor,actor,1,0
418,Handle Password Error,control,1,1
419,Set Password Screen,boundary,1,3
420,Validates non-block password,control,1,1
421,Actor,actor,3,0
422,Upload,control,1,1
423,camera,entity,2,1
424,can't access camera,control,1,1
425,my photo screen,boundary,1,3
426,prepare resullt,control,1,2
427,take the photo successfully,control,1,1
428,upload choice,boundary,0,3
429,view photo,boundary,2,3
430,Actor,actor,3,0
431,Upload finished,control,1,1
432,camera,entity,2,1
433,current location,boundary,1,3
434,failed to get current location,control,1,1
435,failed to upload,control,1,1
436,get location successfully,control,1,1
437,my upload,entity,2,1
438,upload,control,1,1
439,upload choice,boundary,1,3
440,upload choice,boundary,0,4
441,upload to current location,control,1,1
442,Actor,actor,4,0
443,camera,entity,1,1
444,can't access server,control,1,1
445,confirm,boundary,1,3
446,confirm upload,control,1,1
447,display my events,control,0,0
448,display my events,control,2,1
449,failed to upload,control,1,1
450,my event,entity,2,1
451,my events,boundary,1,3
452,photos in the event,entity,1,2
453,result,boundary,0,4
454,select an event,control,1,1
455,upload choice,boundary,1,3
456,upload finished,control,2,1
457,upload to my event,control,1,1
458,Actor,actor,1,0
459,Determine if user is event owner,control,2,1
460,Display Remaining Event Time,control,1,1
461,Event,entity,0,2
462,Event Screen,boundary,5,4
463,Handle photo retrieval error,control,1,1
464,Hide Edit Button,control,1,1
465,Navigate to Photo Selected Screen,control,0,1
466,Photo Collection,entity,0,2
467,Retrieve Photos for Event,control,2,1
468,Actor,actor,4,0
469,Can't access local photos,control,1,1
470,camera roll,boundary,1,3
471,choose a photo,control,1,1
472,get photos successfully,control,1,1
473,local photos,entity,2,1
474,my photos screen,boundary,1,2
475,process request,control,1,1
476,upload,control,1,1
477,upload choice,boundary,0,3
478,view photo,boundary,1,3
479,Actor,actor,1,0
480,cancel deletion,control,1,1
481,change mode,control,1,0
482,confirm delete photos,control,1,1
483,photo,entity,0,2
484,photo list,boundary,3,3
485,pop up photo connection error,control,1,1
486,select photos,control,1,2
487,Actor,actor,3,0
488,Admin page,boundary,0,3
489,Display event list,control,1,1
490,Event list,boundary,1,4
491,Get event list,control,3,1
492,Get photo list,control,2,1
493,Photo list,boundary,0,1
494,Pop up photo connection error,control,1,1
495,Search box,boundary,0,4
496,display photo list,control,1,1
497,event,entity,1,1
498,photo,entity,1,1
499,pop up event connection error,control,2,0
500,Actor,actor,3,0
501,Account,entity,1,1
502,Admin page,boundary,0,4
503,Display user list,control,1,1
504,Get photo list,control,2,1
505,Get user list,control,3,1
506,Photo list,boundary,0,1
507,Pop up photo connection error,control,1,1
508,Search box,boundary,0,3
509,User list,boundary,1,4
510,display photo list,control,1,1
511,photo,entity,1,1
512,pop up event connection error,control,2,0
513,Actor,actor,3,0
514,Delete expired events automatically,control,1,2
515,delete expired location photos automatically,control,1,2
516,delete photos related to expired events automatically,control,1,2
517,event,entity,0,1
518,photo,entity,0,2
519,Actor,actor,1,0
520,Account,entity,0,1
521,Display pop-up "Password do not match" on Sign up Screen,control,2,0
522,Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen,control,1,1
523,Display pop-up "invalid email or email is already in use" on Sign Up Screen,control,1,1
524,Display pop-up "invalid password" on Sign Up Screen,control,1,1
525,Sign up Screen,boundary,1,6
526,User Collection,entity,0,1
527,verify confirm password,control,0,1
528,verify email,control,2,1
529,verify password,control,2,1
530,verify username,control,3,1
531,Actor,actor,1,0
532,Display Selected Photo on Profile Photo Screen,control,1,1
533,Display available photos on Photos Screen,control,1,2
534,Display photo on  Profile photo screen,control,2,0
535,Display pop-up "Password do not match" on Sign up Screen,control,1,0
536,Photos Screen,boundary,1,1
537,Profile,entity,0,1
538,Profile Photo Screen,boundary,2,5
539,Save Profile Photo,control,1,1
540,Actor,actor,1,0
541,Create Event Screen,boundary,2,2
542,Event Collection,entity,0,2
543,Handle Validate Error,control,1,3
544,Validate hashtag containts alphanume dash underscore,control,2,1
545,Validate hashtag uniqueness,control,2,1
546,Actor,actor,1,0
547,Create Event Screen,boundary,2,2
548,Event Collection,entity,0,2
549,Handle Validate Error,control,1,3
550,Validate hashtag containts alphanume dash underscore,control,2,1
551,Validate hashtag uniqueness,control,2,1
552,Actor,actor,2,0
553,Delete Photo Model,boundary,2,4
554,Dismiss Delete Photo Model,control,0,2
555,Display Deelete Photo Model,control,1,1
556,Event,entity,0,1
557,Event Screen,boundary,2,3
558,Handle Deletion Error,control,1,1
559,Handle Photo Deletion,control,3,1
560,Photo Collection,entity,0,1
561,Toggle Delete Mode,control,1,1
562,Toggle Off Delete Mode,control,1,0
563,Actor,actor,5,0
564,Can't access server,control,1,1
565,Confirm page,boundary,1,3
566,Confirmed delete,control,1,1
567,Delete,control,1,1
568,Delete finished,control,1,1
569,My photos screen,boundary,2,3
570,Photo Collection,boundary,1,3
571,Prepare photos,control,1,1
572,Result,boundary,0,4
573,Select a photo,control,1,1
574,failed to delete,control,1,1
575,get my upload,control,0,2
576,my upload,entity,4,1
577,view photo,boundary,1,3
578,Actor,actor,1,0
579,Download photo to Device,control,3,1
580,Handle download error,control,1,1
581,Handle download success,control,1,1
582,Photo Selected Screen,boundary,1,4
583,Server,entity,0,1
584,Actor,actor,1,0
585,Account,entity,0,1
586,Display pop-p "Authentication Failed" on Log In Screen,control,1,2
587,Log In Screen,boundary,1,3
588,User Collection,entity,0,2
589,Verify Password,control,3,1
590,Verify Username,control,3,1
591,Actor,actor,1,0
592,Display pop-p "Authentication Failed" on Log In Screen,control,1,2
593,Log In Screen,boundary,2,4
594,Verify Username,control,2,1
595,User,actor,53,0
596,Display navigation bar,control,1,0
597,Log in screen,boundary,0,1
598,Navigation bar,boundary,1,2
599,Photo screen,boundary,0,1
600,Tap a icon on navigation bar,control,1,1
601,display  log in screen,control,1,1
602,display event screen,control,1,1
603,display photo screen,control,1,1
604,display profile screen,control,1,1
605,display search screen,control,1,1
606,event screen,boundary,0,1
607,is  user logged in?,control,5,1
608,profile screen,boundary,0,1
609,search screen,boundary,0,1
610,Actor,actor,2,0
611,Create Event Screen,boundary,2,2
612,Create new event with hashtag,control,3,2
613,Event,entity,0,1
614,Event Collection,entity,0,1
615,Handle Creation Error,control,1,2
616,Set Password Screen,boundary,1,3
617,Actor,actor,4,0
618,List Mutator,control,1,3
619,Location Screen,boundary,1,2
620,Perform Default Search,control,2,1
621,Perform Select Range Search,control,2,1
622,Photo Database,entity,0,1
623,Photo Database,entity,0,1
624,Photo Search Result List,entity,0,1
625,Photo Search Result List View,boundary,1,2
626,Photo View,boundary,1,2
627,Range Buttons(Default myhome),boundary,1,2
628,User Directed to View Photo Use Case,control,0,1
629,Actor,actor,3,0
630,Event Collection,entity,2,2
631,Perform Default Search,control,1,2
632,Pop up Server Error Message,control,1,1
633,Pop up daabase Error Message,control,1,1
634,Search API,control,3,1
