NUM,UC,UEUCW_EMP,UEUCW_ALY,UEXUCW_EMP,UEXUCW_ALY, Effort,Effort_ALY,CCSS_EMP,CCSS_ALY, EI_EMP,EI_ALY,EO_EMP,EO_ALY,EQ,EQ_ALY,FN,FN_ALY,DM, DM_ALY,INT,INT_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY
191,Reviewer/Agent Login,undefined,15,undefined,5,undefined,0,undefined,0,undefined,5,undefined,0,undefined,0,undefined,0,undefined,5,undefined,0,undefined,5,undefined,0,undefined,0,undefined,5
192,Independent Review of Bad Driver Report,undefined,15,undefined,2,undefined,0,undefined,0,undefined,2,undefined,0,undefined,0,undefined,0,undefined,2,undefined,0,undefined,2,undefined,0,undefined,0,undefined,2
193,Capture Frame from Video and get  LP number,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
194,View video clips,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
195,App user login,undefined,15,undefined,5,undefined,0,undefined,0,undefined,2,undefined,0,undefined,0,undefined,0,undefined,2,undefined,1,undefined,3,undefined,0,undefined,0,undefined,3
196,Resolve Potential Duplicates,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
197,Recording video clips in a circular buffer,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
198,Post Picture,undefined,15,undefined,13,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,4,undefined,5,undefined,0,undefined,0,undefined,5
199,Delete Picture,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
200,View Specific Picture,undefined,15,undefined,1,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,0,undefined,1,undefined,0,undefined,0,undefined,1
201,Like Picture,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
202,Unlike Picture,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
203,Report Picture - Submit,undefined,15,undefined,4,undefined,0,undefined,0,undefined,1,undefined,0,undefined,0,undefined,0,undefined,1,undefined,1,undefined,2,undefined,0,undefined,0,undefined,2
