name, startTime, endTime, size (kb),runTime(s), runTime, size(mb),0.975431508,,21348
f14a_gotrla_2019-9-18@1571435830461,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:03:28 GMT-0700 (Pacific Daylight Time),772.505,216.1223556,216122.3556,0.772505,,,
S14b_Student_Scheduling_Systemb_2019-9-18@1571435830579,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:03:28 GMT-0700 (Pacific Daylight Time),776.858,216.0606061,216060.6061,0.776858,,,
ssad_ioc2_s12b_t12_v6.2_2019-9-18@1571435830704,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:04:23 GMT-0700 (Pacific Daylight Time),844.147,247.3733562,247373.3562,0.844147,,,
s16b_Picshare_AA_2019-9-18@1571435830629,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:04:23 GMT-0700 (Pacific Daylight Time),857.934,247.457976,247457.976,0.857934,,,
CRCD_Management_System_2019-9-18@1571435830448,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:04:37 GMT-0700 (Pacific Daylight Time),875.593,255.5054317,255505.4317,0.875593,,,
ssad_ioc3_s12b_t13_v3.3_2019-9-18@1571435830749,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:04:56 GMT-0700 (Pacific Daylight Time),894.083,266.5237278,266523.7278,0.894083,,,
Leamos_TM_2019-9-18@1571435830488,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:04:57 GMT-0700 (Pacific Daylight Time),916.599,266.7678674,266767.8674,0.916599,,,
F15a_construction_meeting_minutes_application_2019-9-18@1571435830473,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:06:14 GMT-0700 (Pacific Daylight Time),988.16,311.0451687,311045.1687,0.98816,,,
Amer_I_Can_Re_Up_2019-9-18@1571435830441,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:06:15 GMT-0700 (Pacific Daylight Time),1012.008,311.5666095,311566.6095,1.012008,,,
F14a_sharethetraining_com_2019-9-18@1571435830466,Fri Oct 18 2019 14:57:10 GMT-0700 (Pacific Daylight Time),Fri Oct 18 2019 15:06:15 GMT-0700 (Pacific Daylight Time),1014.643,311.5683248,311568.3248,1.014643,,,
