id,element,type,outbound_degree,inbound_degree,diagram,useCase
402,Check,control,2,1,Create Offer,Create Offer
403,Link DC & Geo,control,4,1,Create Offer,Create Offer
404,Offers Page,boundary,1,1,Create Offer,Create Offer
405,Enter Value,control,3,1,Create Offer,Create Offer
406,FT sales rep,actor,3,0,Create Offer,Create Offer
407,Display bills,control,1,1,View Bill,View Bill
408,Bills,entity,1,1,View Bill,View Bill
409,Redeem coupon,control,0,1,View Bill,View Bill
410,Partneer subscriptions,entity,0,1,View Bill,View Bill
411,Unbilled Transactions,entity,2,1,View Bill,View Bill
412,Submit disputation request,control,1,1,View Bill,View Bill
413,Validate disputation request,control,1,2,View Bill,View Bill
414,Disputation request page,boundary,2,1,View Bill,View Bill
415,Display unbilled transactions,control,1,1,View Bill,View Bill
416,Disputation request success page,boundary,0,1,View Bill,View Bill
417,Post bills,control,2,1,View Bill,View Bill
418,Dispute bill,control,2,1,View Bill,View Bill
419,Bill Detail Page,boundary,2,1,View Bill,View Bill
420,Make payment,control,0,1,View Bill,View Bill
421,View Bill Details,control,1,1,View Bill,View Bill
422,Bills view page,boundary,2,2,View Bill,View Bill
423,Business Partner,actor,1,0,View Bill,View Bill
424,Send confirm email,control,0,1,Create Account,Create Account
425,retrieve registered email,control,1,2,Create Account,Create Account
426,Delete information cookies,control,1,1,Create Account,Create Account
427,Customer page,boundary,0,1,Create Account,Create Account
428,Success action,control,3,1,Create Account,Create Account
429,Check duplication,control,2,1,Create Account,Create Account
430,system database account information,entity,2,1,Create Account,Create Account
431,retrieve information,control,1,2,Create Account,Create Account
432,Valid information duplication,control,1,1,Create Account,Create Account
433,Create success page,boundary,1,1,Create Account,Create Account
434,Web browerser-cookies storage,entity,2,2,Create Account,Create Account
435,check information correctness,control,2,1,Create Account,Create Account
436,Store information cookies,control,1,1,Create Account,Create Account
437,Create account page,boundary,1,3,Create Account,Create Account
438,direct to create account page,control,1,1,Create Account,Create Account
439,Information incorrect and redirect back,control,1,2,Create Account,Create Account
440,First page,boundary,1,1,Create Account,Create Account
441,Customer,actor,2,0,Create Account,Create Account
442,Authorization success,boundary,1,1,Specify default payment method use case,Specify default payment method use case
443,Display Success Page,control,1,1,Specify default payment method use case,Specify default payment method use case
444,Payment Processor,entity,1,1,Specify default payment method use case,Specify default payment method use case
445,HTTPS Connection,control,1,1,Specify default payment method use case,Specify default payment method use case
446,Payment Cateway,entity,1,1,Specify default payment method use case,Specify default payment method use case
447,Merchant Web Server Account,entity,1,4,Specify default payment method use case,Specify default payment method use case
448,HTTPS Connection,control,1,1,Specify default payment method use case,Specify default payment method use case
449,Subscription,entity,0,0,Specify default payment method use case,Specify default payment method use case
450,HTTPs Connection,control,1,1,Specify default payment method use case,Specify default payment method use case
451,Check internet,control,0,1,Specify default payment method use case,Specify default payment method use case
452,Check all details are entered,control,2,1,Specify default payment method use case,Specify default payment method use case
453,HTTPS Connection,control,1,2,Specify default payment method use case,Specify default payment method use case
454,Acquirer Bank,entity,2,2,Specify default payment method use case,Specify default payment method use case
455,Display Success Page,control,2,1,Specify default payment method use case,Specify default payment method use case
456,Validate details with user's bank account,control,2,3,Specify default payment method use case,Specify default payment method use case
457,enter details,control,2,1,Specify default payment method use case,Specify default payment method use case
458,Payment Screen,boundary,3,2,Specify default payment method use case,Specify default payment method use case
459,Business Partner,actor,4,0,Specify default payment method use case,Specify default payment method use case
460,Display not found page,control,1,1,Contact us,Contact us
461,Not found page,boundary,0,2,Contact us,Contact us
462,Admin,actor,0,1,Contact us,Contact us
463,Display customer complain notification,control,1,1,Contact us,Contact us
464,Customer,entity,0,1,Contact us,Contact us
465,Customer complain Notification,entity,0,1,Contact us,Contact us
466,Admin gets the message,boundary,1,1,Contact us,Contact us
467,Home page,boundary,1,1,Contact us,Contact us
468,Display,control,1,1,Contact us,Contact us
469,Contact Admin,control,2,2,Contact us,Contact us
470,Validate,control,5,1,Contact us,Contact us
471,successfully submitted page,boundary,0,2,Contact us,Contact us
472,E-coupon,entity,0,1,Contact us,Contact us
473,Successfully submitted,control,3,1,Contact us,Contact us
474,Display successful submitted page,control,1,1,Contact us,Contact us
475,Display contact us page,control,1,1,Contact us,Contact us
476,ContactUs page,boundary,1,3,Contact us,Contact us
477,Partner,actor,4,0,Contact us,Contact us
478,Display login page,control,1,0,Login to TripPlanner,Login to TripPlanner
479,Enter username and password,control,1,1,Login to TripPlanner,Login to TripPlanner
480,Display home page,control,1,1,Login to TripPlanner,Login to TripPlanner
481,Does username exist?,control,1,1,Login to TripPlanner,Login to TripPlanner
482,Email password,control,2,1,Login to TripPlanner,Login to TripPlanner
483,Is username/password correct?,control,2,1,Login to TripPlanner,Login to TripPlanner
484,Traveler,actor,1,0,Login to TripPlanner,Login to TripPlanner
485,Login page,boundary,1,3,Login to TripPlanner,Login to TripPlanner
486,Trip plan homepage,boundary,0,1,Connect to trip plan,Connect to trip plan - Trip Planner
487,Get personnel trip plan information,control,1,1,Connect to trip plan,Connect to trip plan - Trip Planner
488,Trip plan cloud database,entity,1,1,Connect to trip plan,Connect to trip plan - Trip Planner
489,Login page,boundary,1,2,Connect to trip plan,Connect to trip plan - Trip Planner
490,Already logged in?,control,2,1,Connect to trip plan,Connect to trip plan - Trip Planner
491,check login,control,2,2,Connect to trip plan,Connect to trip plan - Trip Planner
492,Connect to trip plan cloud database,control,3,2,Connect to trip plan,Connect to trip plan - Trip Planner
493,Traveler,actor,2,0,Connect to trip plan,Connect to trip plan - Trip Planner
494,Travel Book,boundary,1,3,Connect to trip plan,Connect to trip plan - Trip Planner
495,NavigateManageSubscription,control,1,1,Manage Trip Plan,Manage Trip Plan
496,Trip Calendar Page,boundary,0,1,Manage Trip Plan,Manage Trip Plan
497,Annotates Trip Plan with Photos Page,boundary,0,1,Manage Trip Plan,Manage Trip Plan
498,Share trip plan page,boundary,0,1,Manage Trip Plan,Manage Trip Plan
499,Manage subscriptions page,boundary,0,1,Manage Trip Plan,Manage Trip Plan
500,NavigateTripCalendar,control,1,1,Manage Trip Plan,Manage Trip Plan
501,NavigateAnnotation,control,1,1,Manage Trip Plan,Manage Trip Plan
502,NavigateShareTripPlan,control,1,1,Manage Trip Plan,Manage Trip Plan
503,DeleteTripPlan,control,1,1,Manage Trip Plan,Manage Trip Plan
504,Find or Add Places Page,boundary,0,1,Manage Trip Plan,Manage Trip Plan
505,Navigation Delete Places,control,1,1,Manage Trip Plan,Manage Trip Plan
506,Trip Plans Database,entity,0,1,Manage Trip Plan,Manage Trip Plan
507,TripPlanDetaillsPage,boundary,6,4,Manage Trip Plan,Manage Trip Plan
508,AddTripPlan,control,1,1,Manage Trip Plan,Manage Trip Plan
509,NavigateFindorAddPlaces,control,1,1,Manage Trip Plan,Manage Trip Plan
510,Manage Trip Plans,control,2,1,Manage Trip Plan,Manage Trip Plan
511,Traveler,actor,2,0,Manage Trip Plan,Manage Trip Plan
512,Travel Plan Home Page,boundary,3,2,Manage Trip Plan,Manage Trip Plan
513,user data database,entity,3,2,Find, add, and delete places,Find, add, and delete places
514,Place,entity,3,0,Find, add, and delete places,Find, add, and delete places
515,Displays a list of added place of this user,control,1,3,Find, add, and delete places,Find, add, and delete places
516,Display the add button in color gray,control,2,1,Find, add, and delete places,Find, add, and delete places
517,Display the add button tin color blue,control,2,1,Find, add, and delete places,Find, add, and delete places
518,Displays a list of related places with add button,control,1,3,Find, add, and delete places,Find, add, and delete places
519,a list of places with add button on find screen,boundary,0,3,Find, add, and delete places,Find, add, and delete places
520,delete this place from added places  list,control,2,3,Find, add, and delete places,Find, add, and delete places
521,Manage subscription screen with a list of added places,boundary,1,2,Find, add, and delete places,Find, add, and delete places
522,Displays a delete button under place item,control,1,3,Find, add, and delete places,Find, add, and delete places
523,Display Find screen,control,1,1,Find, add, and delete places,Find, add, and delete places
524,Fnd screen with search bar,boundary,1,2,Find, add, and delete places,Find, add, and delete places
525,Display keyboard and entering process,control,3,3,Find, add, and delete places,Find, add, and delete places
526,Place database,entity,1,0,Find, add, and delete places,Find, add, and delete places
527,Displays manage subscriptions screen,control,3,1,Find, add, and delete places,Find, add, and delete places
528,add this place to added places list,control,1,2,Find, add, and delete places,Find, add, and delete places
529,display no results,control,3,1,Find, add, and delete places,Find, add, and delete places
530,Traveler,actor,2,0,Find, add, and delete places,Find, add, and delete places
531,Main screen,boundary,2,1,Find, add, and delete places,Find, add, and delete places
532,Empty list prompting box,boundary,0,2,Manage subscription,Manage subscription
533,Error prompting box,boundary,0,2,Manage subscription,Manage subscription
534,Place,entity,0,1,Manage subscription,Manage subscription
535,Place list page,boundary,6,2,Manage subscription,Manage subscription
536,Error controller,control,1,1,Manage subscription,Manage subscription
537,Place Controller,control,4,1,Manage subscription,Manage subscription
538,Traveler,actor,1,0,Manage subscription,Manage subscription
539,Trip plan selection page,boundary,2,2,Manage subscription,Manage subscription
540,Retrieve coupon list,control,1,1,View partner offer,View partner offer
541,Return search results,control,1,1,View partner offer,View partner offer
542,Search coupon,control,1,1,View partner offer,View partner offer
543,Sort coupon list,control,1,2,View partner offer,View partner offer
544,click "popular",control,1,1,View partner offer,View partner offer
545,Click back,control,1,1,View partner offer,View partner offer
546,Partner info,entity,0,1,View partner offer,View partner offer
547,Retrieve partner info,control,1,1,View partner offer,View partner offer
548,Coupon Info,entity,0,2,View partner offer,View partner offer
549,partner offer page,boundary,4,1,View partner offer,View partner offer
550,Display partner info,control,2,1,View partner offer,View partner offer
551,Click "detail",control,3,1,View partner offer,View partner offer
552,Traveler,actor,1,0,View partner offer,View partner offer
553,Management subscription page,boundary,1,2,View partner offer,View partner offer
554,subscription failed,boundary,0,1,Subscribe and unsubscribe from partner offer,Subscribe and unsubscribe from partner offer
555,subscription success,boundary,0,1,Subscribe and unsubscribe from partner offer,Subscribe and unsubscribe from partner offer
556,Offer,entity,0,2,Subscribe and unsubscribe from partner offer,Subscribe and unsubscribe from partner offer
557,partner offer page,boundary,5,1,Subscribe and unsubscribe from partner offer,Subscribe and unsubscribe from partner offer
558,subscription controller,control,4,2,Subscribe and unsubscribe from partner offer,Subscribe and unsubscribe from partner offer
559,Traveler,actor,2,0,Subscribe and unsubscribe from partner offer,Subscribe and unsubscribe from partner offer
560,Management subscription page,boundary,1,2,Subscribe and unsubscribe from partner offer,Subscribe and unsubscribe from partner offer
561,Schedule Date and time conflict with another visit,control,1,1,Schedule visit and view trip calendar,Schedule visit and view trip calendar
562,Display details of scheduled visit,control,0,1,Schedule visit and view trip calendar,Schedule visit and view trip calendar
563,Enter arrival and departure date andtime for visit,control,2,1,Schedule visit and view trip calendar,Schedule visit and view trip calendar
564,Calendar interface,control,4,3,Schedule visit and view trip calendar,Schedule visit and view trip calendar
565,Traveler,actor,2,0,Schedule visit and view trip calendar,Schedule visit and view trip calendar
566,Display places in trip plan,boundary,1,1,Schedule visit and view trip calendar,Schedule visit and view trip calendar
567,Map,entity,0,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
568,Place,entity,0,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
569,Pinch on map,control,1,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
570,Map,entity,0,2,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
571,pan on map,control,1,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
572,get directions from current location,control,0,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
573,View trip plan on map screen,boundary,3,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
574,Display,control,1,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
575,fetch place,control,1,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
576,fetch map,control,2,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
577,trip plan controller,control,3,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
578,Traveler,actor,1,0,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
579,Manage trip plan screen,boundary,1,1,View Trip Plan on Map and get Directions,View Trip Plan on Map and get Directions
580,Print page,boundary,0,1,Annotate trip plan,Annotate trip plan
581,Annotation page,boundary,2,2,Annotate trip plan,Annotate trip plan
582,Display,control,1,1,Annotate trip plan,Annotate trip plan
583,Delete Photos,control,1,1,Annotate trip plan,Annotate trip plan
584,Pop-up Alert,boundary,0,1,Annotate trip plan,Annotate trip plan
585,Annotation,entity,1,2,Annotate trip plan,Annotate trip plan
586,Photos,entity,1,2,Annotate trip plan,Annotate trip plan
587,Edit comment,control,1,1,Annotate trip plan,Annotate trip plan
588,Comment,entity,1,2,Annotate trip plan,Annotate trip plan
589,Click update annotation,control,1,1,Annotate trip plan,Annotate trip plan
590,Click print button,control,1,1,Annotate trip plan,Annotate trip plan
591,Annotation create/update page,boundary,4,2,Annotate trip plan,Annotate trip plan
592,Display,control,3,2,Annotate trip plan,Annotate trip plan
593,Upload more photos,control,1,2,Annotate trip plan,Annotate trip plan
594,Check the number of photos,control,2,1,Annotate trip plan,Annotate trip plan
595,Checking existing,control,3,2,Annotate trip plan,Annotate trip plan
596,Traveler,actor,1,0,Annotate trip plan,Annotate trip plan
597,Travel Plan Page,boundary,1,1,Annotate trip plan,Annotate trip plan
598,display,control,2,1,Print photo books,Print photo books
599,Walgreens checkout,boundary,1,2,Print photo books,Print photo books
600,Trip Plan,entity,0,1,Print photo books,Print photo books
601,Select images screen,boundary,5,5,Print photo books,Print photo books
602,walgreens,control,2,2,Print photo books,Print photo books
603,display,control,3,2,Print photo books,Print photo books
604,Traveler,actor,3,0,Print photo books,Print photo books
605,Place screen,boundary,2,3,Print photo books,Print photo books
