id,path,functional,transactional,path_length,avg_degree,arch_diff,diagram,use_case,model
582,User->Post comment page->validate the posted comment->save comment->comment is posted successfully message,EQ,CTRL|INT,5,1.2,6,Post to a specific thread on forum,Post to a specific thread on forum,S15b_we_are_trojans_network
583,User->Post comment page->validate the posted comment->save comment->error in the posted comment,EQ,CTRL|INT,5,1.2,6,Post to a specific thread on forum,Post to a specific thread on forum,S15b_we_are_trojans_network
584,User->Forum page->query thread detail->thread,EI,CTRL|DM|EI,4,0.75,3,Post to a specific thread on forum,Post to a specific thread on forum,S15b_we_are_trojans_network
585,User->Forum page->query thread detail->load comment input field->Post comment page,EQ,CTRL|INT,5,1,5,Post to a specific thread on forum,Post to a specific thread on forum,S15b_we_are_trojans_network
586,User->Online store page->check if the user has enough points->decrease the points->user,EI,CTRL|DM|EI,5,1.2,6,Redeem gift items,Redeem gift items,S15b_we_are_trojans_network
587,User->Online store page->check if the user has enough points->decrease the points->decrease the itme num in store->store,EI,CTRL|DM|EI,6,1.1666666666666667,7,Redeem gift items,Redeem gift items,S15b_we_are_trojans_network
588,User->Online store page->check if the user has enough points->decrease the points->decrease the itme num in store->redeem success message,EQ,CTRL|INT,6,1.1666666666666667,7,Redeem gift items,Redeem gift items,S15b_we_are_trojans_network
589,User->Online store page->check if the user has enough points->user,EI,CTRL|DM|EI,4,1.25,5,Redeem gift items,Redeem gift items,S15b_we_are_trojans_network
590,User->Online store page->check if the user has enough points->Point is not enough message,EQ,CTRL|INT,4,1.25,5,Redeem gift items,Redeem gift items,S15b_we_are_trojans_network
591,User->Redeem gift option->direct to online store page->load store details->store,EI,CTRL|DM|EI,5,1,5,Redeem gift items,Redeem gift items,S15b_we_are_trojans_network
592,User->Redeem gift option->direct to online store page->load store details->Online store page,EQ,CTRL|INT,5,1,5,Redeem gift items,Redeem gift items,S15b_we_are_trojans_network
593,User->url of leaderboard->redirect to the home page->load participants->No leaders error message,EQ,CTRL|INT,5,1.2,6,View the leaderboard,View the leaderboard,S15b_we_are_trojans_network
594,User->url of leaderboard->redirect to the home page->load participants->Participant ranking and points page,EQ,CTRL|INT,5,1,5,View the leaderboard,View the leaderboard,S15b_we_are_trojans_network
595,User->url of leaderboard->redirect to the home page->load participants->loading participants error,EQ,CTRL|INT,5,1.2,6,View the leaderboard,View the leaderboard,S15b_we_are_trojans_network
596,User->url of leaderboard->redirect to the home page->load participants->partiticipants,EI,CTRL|DM|EI,5,1,5,View the leaderboard,View the leaderboard,S15b_we_are_trojans_network
597,User->profile detail page->load user profile->profile,EI,CTRL|DM|EI,4,1.5,6,Update his/her profile,Update his/her profile,S15b_we_are_trojans_network
598,User->profile detail page->redirect to edit page->profile edit page,EQ,CTRL|INT,4,1.25,5,Update his/her profile,Update his/her profile,S15b_we_are_trojans_network
599,User->profile is updated feedback->redirect to profile page->profile detail page,EQ,CTRL|INT,4,1.25,5,Update his/her profile,Update his/her profile,S15b_we_are_trojans_network
600,User->view profile button->load user profile->profile,EI,CTRL|DM|EI,4,1.25,5,Update his/her profile,Update his/her profile,S15b_we_are_trojans_network
601,User->profile edit page->save edited profile->error when saving profile,EQ,CTRL|INT,4,1.25,5,Update his/her profile,Update his/her profile,S15b_we_are_trojans_network
602,User->profile edit page->save edited profile->profile is updated feedback,EQ,CTRL|INT,4,1.25,5,Update his/her profile,Update his/her profile,S15b_we_are_trojans_network
603,User->profile edit page->save edited profile->profile,EI,CTRL|DM|EI,4,1.25,5,Update his/her profile,Update his/her profile,S15b_we_are_trojans_network
604,User->login page->pre-check if input is empty->query authentication info->user info,EI,CTRL|DM|EI,5,0.8,4,Login,Login,S16b_flower_seeker
605,User->login page->pre-check if input is empty->invalid input error message,EQ,CTRL|INT,4,1,4,Login,Login,S16b_flower_seeker
606,User->login page->pre-check if input is empty->error message for empty input,EQ,CTRL|INT,4,1,4,Login,Login,S16b_flower_seeker
607,User->logout button->clear session->Session,EI,CTRL|DM|EI,4,1,4,Logout,Logout,S16b_flower_seeker
608,User->Create Profile Page->pre-check if input is empty->error message for empty input,EQ,CTRL|INT,4,1,4,Create profile,Create profile,S16b_flower_seeker
609,User->Create Profile Page->pre-check if input is empty->existing profile error message,EQ,CTRL|INT,4,1,4,Create profile,Create profile,S16b_flower_seeker
610,User->Create Profile Page->pre-check if input is empty->successful information for creation,EQ,CTRL|INT,4,1,4,Create profile,Create profile,S16b_flower_seeker
611,User->Create Profile Page->pre-check if input is empty->send information in db->user info,EI,CTRL|DM|EI,5,0.8,4,Create profile,Create profile,S16b_flower_seeker
612,User->profile edit page->pre-check required fields->invalid information error message,EQ,CTRL|INT,4,1,4,Manage Profile,Manage Profile,S16b_flower_seeker
613,User->profile edit page->pre-check required fields->update profile entry->user info,EI,CTRL|DM|EI,5,0.8,4,Manage Profile,Manage Profile,S16b_flower_seeker
614,User->profile edit page->pre-check required fields->update profile entry->successful change message,EQ,CTRL|INT,5,1,5,Manage Profile,Manage Profile,S16b_flower_seeker
615,User->Edit profile button->display profile edit page,FUNC_NA,TRAN_NA,3,0.6666666666666666,2,Manage Profile,Manage Profile,S16b_flower_seeker
616,User->product search page->query product by criteria->No product error message,EQ,CTRL|INT,4,1,4,Search Product,Search Product,S16b_flower_seeker
617,User->product search page->query product by criteria->product page,EQ,CTRL|INT,4,1,4,Search Product,Search Product,S16b_flower_seeker
618,User->product search page->query product by criteria->product,EI,CTRL|DM|EI,4,0.75,3,Search Product,Search Product,S16b_flower_seeker
619,User->add to cart button->check db if available->not available error message,EQ,CTRL|INT,4,1,4,Add to cart,Add to cart,S16b_flower_seeker
620,User->add to cart button->check db if available->add to cart->cart,EI,CTRL|DM|EI,5,0.8,4,Add to cart,Add to cart,S16b_flower_seeker
621,User->add to cart button->check db if available->product,EI,CTRL|DM|EI,4,0.75,3,Add to cart,Add to cart,S16b_flower_seeker
622,User->payment information page->pre-check if required information is empty->verify payment information->thirdpart payment system,FUNC_NA,CTRL|EXTIVK,5,0.8,4,Place Order,Place Order,S16b_flower_seeker
623,User->payment information page->pre-check if required information is empty->missing information for payment message,EQ,CTRL|INT,4,1.25,5,Place Order,Place Order,S16b_flower_seeker
624,thirdpart payment system->approve transaction and display successful message->payment successful message,FUNC_NA,CTRL|EXTCLL|INT,3,1,3,Place Order,Place Order,S16b_flower_seeker
625,thirdpart payment system->send error message for invalid payment information->invalid payment inforrmation,FUNC_NA,CTRL|EXTCLL|INT,3,1,3,Place Order,Place Order,S16b_flower_seeker
626,User->Order history button->retrieve order history->order,EI,CTRL|DM|EI,4,0.75,3,View order history,View order history,S16b_flower_seeker
627,User->Order history button->retrieve order history->no order history page,EQ,CTRL|INT,4,1,4,View order history,View order history,S16b_flower_seeker
628,User->Order history button->retrieve order history->order history list,EQ,CTRL|INT,4,1,4,View order history,View order history,S16b_flower_seeker
629,florist->Order history button->retrieve order history for a florist->order,EI,CTRL|DM|EI,4,0.75,3,View Past Transactions,View Past Transactions,S16b_flower_seeker
630,florist->Order history button->retrieve order history for a florist->no order history page,EQ,CTRL|INT,4,1,4,View Past Transactions,View Past Transactions,S16b_flower_seeker
631,florist->Order history button->retrieve order history for a florist->order history list,EQ,CTRL|INT,4,1,4,View Past Transactions,View Past Transactions,S16b_flower_seeker
632,user->Track order button->retrieve order status->order status,EQ,CTRL|INT,4,1,4,Track Order,Track Order,S16b_flower_seeker
633,user->Track order button->retrieve order status->order,EI,CTRL|DM|EI,4,0.75,3,Track Order,Track Order,S16b_flower_seeker
634,florist->Order page->update order status information->order,EI,CTRL|DM|EI,4,0.75,3,Provide tracking information,Provide tracking information,S16b_flower_seeker
635,florist->Order page->update order status information->update successful page,EQ,CTRL|INT,4,1,4,Provide tracking information,Provide tracking information,S16b_flower_seeker
636,customer->review button->display review penal->review panel,EQ,CTRL|INT,4,1,4,Review and Rating,Review and Rating,S16b_flower_seeker
637,customer->review panel->pre-check if length of review is legal->too short review error message,EQ,CTRL|INT,4,1.25,5,Review and Rating,Review and Rating,S16b_flower_seeker
638,customer->review panel->pre-check if length of review is legal->store review and rating information->review,EI,CTRL|DM|EI,5,1,5,Review and Rating,Review and Rating,S16b_flower_seeker
639,florist->Upload page->pre-check if required information valid->information is invalid,EQ,CTRL|INT,4,1,4,Upload catalog,Upload catalog,S16b_flower_seeker
640,florist->Upload page->pre-check if required information valid->save uploaded information to db->category,EI,CTRL|DM|EI,5,0.8,4,Upload catalog,Upload catalog,S16b_flower_seeker
641,florist->Upload page->pre-check if required information valid->exceeded limit error message,EQ,CTRL|INT,4,1,4,Upload catalog,Upload catalog,S16b_flower_seeker
642,florist->catalog manage page->pre-check if required information valid->information is invalid,EQ,CTRL|INT,4,1,4,Manage Catalog,Manage Catalog,S16b_flower_seeker
643,florist->catalog manage page->pre-check if required information valid->exceeded limit error message,EQ,CTRL|INT,4,1,4,Manage Catalog,Manage Catalog,S16b_flower_seeker
644,florist->catalog manage page->pre-check if required information valid->save uploaded information to db->category,EI,CTRL|DM|EI,5,0.8,4,Manage Catalog,Manage Catalog,S16b_flower_seeker
645,customer->comment and concerns panel->save comments/concerns->successful communication message,EQ,CTRL|INT,4,1.25,5,Private message,Private message,S16b_flower_seeker
646,customer->comment and concerns panel->save comments/concerns->message,EI,CTRL|DM|EI,4,1,4,Private message,Private message,S16b_flower_seeker
647,customer->chat button->display chat panel->comment and concerns panel,EQ,CTRL|INT,4,1,4,Private message,Private message,S16b_flower_seeker
648,customer->dashboard page->display unread message->unread message,EQ,CTRL|INT,4,1,4,Private Message - Florist,Private Message - Florist,S16b_flower_seeker
649,customer->dashboard page->display unread message->message,EI,CTRL|DM|EI,4,1.25,5,Private Message - Florist,Private Message - Florist,S16b_flower_seeker
650,customer->reply input panel->save replied message->message,EI,CTRL|DM|EI,4,1.5,6,Private Message - Florist,Private Message - Florist,S16b_flower_seeker
651,customer->unread message->display comment input panel->reply input panel,EQ,CTRL|INT,4,1.25,5,Private Message - Florist,Private Message - Florist,S16b_flower_seeker
652,customer->unread message->display comment input panel->message,EI,CTRL|DM|EI,4,1.5,6,Private Message - Florist,Private Message - Florist,S16b_flower_seeker
653,User->add image for switch page->save image in db->Error message when saving image,EQ,CTRL|INT,4,1,4,Add image  for switch,Add image for switch,F14a_mobile_application_for_mobile_controlled_lighting
654,User->add image for switch page->save image in db->Image,EI,CTRL|DM|EI,4,0.75,3,Add image  for switch,Add image for switch,F14a_mobile_application_for_mobile_controlled_lighting
655,User->list of gateway->popup gateway name edit page->gateway name edit page,EQ,CTRL|INT,4,1,4,Assign gateways names,Assign gateways names,F14a_mobile_application_for_mobile_controlled_lighting
656,User->list of gateway->popup gateway name edit page->gateway,EI,CTRL|DM|EI,4,1,4,Assign gateways names,Assign gateways names,F14a_mobile_application_for_mobile_controlled_lighting
657,User->gateway name edit page->save gateway name to DB->gateway,EI,CTRL|DM|EI,4,1.25,5,Assign gateways names,Assign gateways names,F14a_mobile_application_for_mobile_controlled_lighting
658,User->gateway name edit page->save gateway name to DB->display error message->Error message when saving name,EQ,CTRL|INT,5,1.2,6,Assign gateways names,Assign gateways names,F14a_mobile_application_for_mobile_controlled_lighting
659,User->delete gateway confirm dialog->delete gateway from db->Display error message when deleting,FUNC_NA,TRAN_NA,4,1.25,5,Delete gateway,Delete gateway,F14a_mobile_application_for_mobile_controlled_lighting
660,User->delete gateway confirm dialog->delete gateway from db->gateways,EI,CTRL|DM|EI,4,1.25,5,Delete gateway,Delete gateway,F14a_mobile_application_for_mobile_controlled_lighting
661,User->Error when deleting gateway->Display error message when deleting,FUNC_NA,TRAN_NA,3,1,3,Delete gateway,Delete gateway,F14a_mobile_application_for_mobile_controlled_lighting
662,User->List of gateways->delete confirm dialog->delete gateway confirm dialog,EQ,CTRL|INT,4,1,4,Delete gateway,Delete gateway,F14a_mobile_application_for_mobile_controlled_lighting
663,User->List of gateways->delete confirm dialog->gateways,EI,CTRL|DM|EI,4,1,4,Delete gateway,Delete gateway,F14a_mobile_application_for_mobile_controlled_lighting
664,User->switch detail page->update switch status->Switch,EI,CTRL|DM|EI,4,1.25,5,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
665,User->switch detail page->update switch status->Error message when updating switchs->Error message of updating,EQ,CTRL|INT,5,1.2,6,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
666,User->List of switches->update list of switch->Switch,EI,CTRL|DM|EI,4,1,4,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
667,User->List of switches->update list of switch->switch detail page,EQ,CTRL|INT,4,1,4,Swith on/off switches,Swith on/off switches,F14a_mobile_application_for_mobile_controlled_lighting
668,User->list of switch->add switch to favoriate->Favoriate,EI,CTRL|DM|EI,4,1,4,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
669,User->list of switch->add switch to favoriate->Display error message when adding to favorite->Error message when updating,EQ,CTRL|INT,5,1.2,6,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
670,User->Add favorite screen->query list of switchs->list of switch,EQ,CTRL|INT,4,1,4,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
671,User->Add favorite screen->query list of switchs->Switch,EI,CTRL|DM|EI,4,0.75,3,Add favorite screen,Add favorite screen,F14a_mobile_application_for_mobile_controlled_lighting
672,User->Account create page->validate input information->save user account->account,EI,CTRL|DM|EI,5,0.8,4,Create a new account,Create a new account,F14a_REFERsy
673,User->Account create page->validate input information->save user account->user profile page,EQ,CTRL|INT,5,1,5,Create a new account,Create a new account,F14a_REFERsy
674,User->Account create page->validate input information->invalid input information,EQ,CTRL|INT,4,1,4,Create a new account,Create a new account,F14a_REFERsy
675,User->Login page->validate user information->incorrect user information,EQ,CTRL|INT,4,1.25,5,Login,Login,F14a_REFERsy
676,User->Login page->validate user information->account,EI,CTRL|DM|EI,4,1,4,Login,Login,F14a_REFERsy
677,User->Login page->validate user information->user profile and search page,EQ,CTRL|INT,4,1,4,Login,Login,F14a_REFERsy
678,User->Edit profile button->display edit profile page->Profile Edit Page,EQ,CTRL|INT,4,1,4,Loginout,Loginout,F14a_REFERsy
679,User->Edit profile button->display edit profile page->Profile,EI,CTRL|DM|EI,4,1,4,Loginout,Loginout,F14a_REFERsy
680,User->credential input page->query linkedin->LinkedIn,FUNC_NA,CTRL|EXTIVK,4,1,4,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
681,User->credential input page->query facebook info->Facebook,FUNC_NA,CTRL|EXTIVK,4,1,4,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
682,User->credential input page->query google plus info->Google plus,FUNC_NA,CTRL|EXTIVK,4,1,4,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
683,User->social media login buttons->display crendential input page->credential input page,EQ,CTRL|INT,4,1,4,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
684,Facebook->query facebook info->sign in error message,FUNC_NA,CTRL|EXTCLL|INT,3,2,6,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
685,Google plus->query google plus info->sign in error message,FUNC_NA,CTRL|EXTCLL|INT,3,2,6,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
686,LinkedIn->query linkedin->sign in error message,FUNC_NA,CTRL|EXTCLL|INT,3,2,6,Sign in social media accounts,Sign in social media accounts,F14a_REFERsy
687,User->Edit profile button->display edit profile page->Profile Edit Page,EQ,CTRL|INT,4,1,4,Update user profile,Update user profile,F14a_REFERsy
688,User->Edit profile button->display edit profile page->Profile,EI,CTRL|DM|EI,4,1,4,Update user profile,Update user profile,F14a_REFERsy
689,User->Profile Edit Page->validate input data->save updated profile->Profile,EI,CTRL|DM|EI,5,1.2,6,Update user profile,Update user profile,F14a_REFERsy
690,User->Profile Edit Page->validate input data->Invalid input data,EQ,CTRL|INT,4,1.25,5,Update user profile,Update user profile,F14a_REFERsy
691,User->Job list page->validate input data->Invalid input data,EQ,CTRL|INT,4,1.25,5,Search for jobs,Search for jobs,F14a_REFERsy
692,User->Job search page->verify input information->invalid input information,EQ,CTRL|INT,4,1,4,Search for jobs,Search for jobs,F14a_REFERsy
693,User->Job search page->verify input information->Search by input keywords from Indeed.com->Indeed.com,FUNC_NA,CTRL|EXTIVK,5,0.8,4,Search for jobs,Search for jobs,F14a_REFERsy
694,Indeed.com->Sort search results->Job list page,FUNC_NA,CTRL|EXTCLL|INT,3,1.3333333333333333,4,Search for jobs,Search for jobs,F14a_REFERsy
695,User->Save search button->save filters and criteria->search saved unsuccessfully error message,EQ,CTRL|INT,4,1,4,Save search results,Save search results,F14a_REFERsy
696,User->Save search button->save filters and criteria->search result,EI,CTRL|DM|EI,4,1,4,Save search results,Save search results,F14a_REFERsy
697,User->Save search button->save filters and criteria->search saved successfully message,EQ,CTRL|INT,4,1,4,Save search results,Save search results,F14a_REFERsy
698,User->Save Favorite Job Button->Save favorite jobs->saved successfully message,EQ,CTRL|INT,4,1,4,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
699,User->Save Favorite Job Button->Save favorite jobs->Favorite Jobs,EI,CTRL|DM|EI,4,0.75,3,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
700,User->Save Favorite Job Button->Save favorite jobs->saved unsuccessfully message,EQ,CTRL|INT,4,1,4,Mark favorite jobs,Mark favorite jobs,F14a_REFERsy
701,User->Request Referral Button->display friends by organization->Friends,EI,CTRL|DM|EI,4,0.75,3,Send a referral request email,Send a referral request email,F14a_REFERsy
702,User->Request Referral Button->display friends by organization->Friend selection page,EQ,CTRL|INT,4,1,4,Send a referral request email,Send a referral request email,F14a_REFERsy
703,User->Request Referral Button->display friends by organization->No fried found message,EQ,CTRL|INT,4,1,4,Send a referral request email,Send a referral request email,F14a_REFERsy
704,User->Friend selection page->display message edit page->message edit page,EQ,CTRL|INT,4,1.25,5,Send a referral request email,Send a referral request email,F14a_REFERsy
705,User->message edit page->send email message->Email Protocol,FUNC_NA,CTRL|EXTIVK,4,1,4,Send a referral request email,Send a referral request email,F14a_REFERsy
706,User->subscribe for notification button->save preferences for subscription->account,EI,CTRL|DM|EI,4,0.75,3,Email subscription,Email subscription,F14a_REFERsy
707,User->subscribe for notification button->save preferences for subscription->invalid email address message,EQ,CTRL|INT,4,1,4,Email subscription,Email subscription,F14a_REFERsy
708,user->Account Creation Page->Specify Credentials->check if passwords match,FUNC_NA,TRAN_NA,4,1,4,Create Account,Create Account,s17_tikiman_go
709,user->Account Creation Page->Specify Credentials->check password format,FUNC_NA,TRAN_NA,4,1,4,Create Account,Create Account,s17_tikiman_go
710,Account Creation Page->Account Creation Page->user->Account Creation Page,FUNC_NA,TRAN_NA,4,1.5,6,Create Account Sequence,Create Account,s17_tikiman_go
711,user->Account Creation Page->Specify Credentials->check if passwords match,FUNC_NA,TRAN_NA,4,1,4,Create Account,Create Account,s17_tikiman_go
712,user->Account Creation Page->Specify Credentials->check password format,FUNC_NA,TRAN_NA,4,1,4,Create Account,Create Account,s17_tikiman_go
713,User->Not In Hawaii Mode->Check if in Hawaii or not->Get Location,FUNC_NA,TRAN_NA,4,1.25,5,Render Intial Mode,Render Intial Mode,s17_tikiman_go
714,User->In Hawaii Mode->Check if in Hawaii or not->Get Location,FUNC_NA,TRAN_NA,4,1.25,5,Render Intial Mode,Render Intial Mode,s17_tikiman_go
715,User->Avatar's Page->Select Avatar->Avatars,EI,CTRL|DM|EI,4,0.75,3,Choose Avatar,Choose Avatar,s17_tikiman_go
716,User->Avatar's Page->Select Avatar->Render Avatar,FUNC_NA,TRAN_NA,4,0.75,3,Choose Avatar,Choose Avatar,s17_tikiman_go
717,User->GPS->Fetch Lat Lon->Update Database,FUNC_NA,TRAN_NA,4,0.75,3,Get Location,Play Ar mode,s17_tikiman_go
718,User->GPS->Fetch Lat Lon->Location,EI,CTRL|DM|EI,4,0.75,3,Get Location,Play Ar mode,s17_tikiman_go
719,User->Map->Check if the location is inside a geofence,FUNC_NA,TRAN_NA,3,1,3,GeoFence,Navigate in AR Mode,s17_tikiman_go
720,User->Map->Get Location->Location,EI,CTRL|DM|EI,4,0.75,3,GeoFence,Navigate in AR Mode,s17_tikiman_go
721,User->Map->Get Location->Check if the location is inside a geofence,EQ,CTRL|INT,4,1,4,GeoFence,Navigate in AR Mode,s17_tikiman_go
722,User->Doug's E-book->Render the e-cook link,FUNC_NA,TRAN_NA,3,1.3333333333333333,4,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book,s17_tikiman_go
723,User->Battle Scene->Render Background of the location,FUNC_NA,TRAN_NA,3,1.6666666666666667,5,Render Battle Scene,Render Battle Scene,s17_tikiman_go
724,User->Weapons Bar->Select Weapon available->Weapons,EI,CTRL|DM|EI,4,0.75,3,Choose Weapon,Choose Weapon,s17_tikiman_go
725,User->Weapons Bar->Select Weapon available->Check Weapon Inventory,FUNC_NA,TRAN_NA,4,0.75,3,Choose Weapon,Choose Weapon,s17_tikiman_go
726,User->Battle Scene->Flick Weapon->Weapon,EI,CTRL|DM|EI,4,0.75,3,Use Weapon,Use Weapon,s17_tikiman_go
727,User->Battle Scene->Flick Weapon->Show in-App purchases,FUNC_NA,TRAN_NA,4,0.75,3,Use Weapon,Use Weapon,s17_tikiman_go
728,User->Battle Scene->Flick Weapon->Reduce Weapon Count,FUNC_NA,TRAN_NA,4,0.75,3,Use Weapon,Use Weapon,s17_tikiman_go
729,User->Battle Scene->Check if weapon hit the army->Update Minimap,FUNC_NA,TRAN_NA,4,1,4,Fight Army,Fight Battle,s17_tikiman_go
730,User->Battle Scene->Check if weapon hit the army->Destroy armyMan->Calculate Score->Achievements,EI,CTRL|DM|EI,6,0.8333333333333334,5,Fight Army,Fight Battle,s17_tikiman_go
731,User->Battle Scene->Check if weapon hit the army->Move Army Closer->Battle,EI,CTRL|DM|EI,5,0.8,4,Fight Army,Fight Battle,s17_tikiman_go
732,User->Minimap->Update Minimap,FUNC_NA,TRAN_NA,3,1,3,Fight Army,Fight Battle,s17_tikiman_go
733,User->Map view->Update the Database with all values->Achivements,EI,CTRL|DM|EI,4,0.75,3,Update Database,Update Database,s17_tikiman_go
734,User->Map view->Update the Database with all values->User Master,EI,CTRL|DM|EI,4,0.75,3,Update Database,Update Database,s17_tikiman_go
735,User->Map view->Update the Database with all values->Battle,EI,CTRL|DM|EI,4,0.75,3,Update Database,Update Database,s17_tikiman_go
736,Score->Algortihm to scale->Update Rank,FUNC_NA,TRAN_NA,3,0.6666666666666666,2,Algorithm,Algorithm,s17_tikiman_go
737,Score->Algortihm to scale->Show Rank,FUNC_NA,TRAN_NA,3,1,3,Algorithm,Algorithm,s17_tikiman_go
738,User->Battle Scene->Increase Opponenent Weapons,FUNC_NA,TRAN_NA,3,1,3,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
739,User->Battle Scene->Increase Number of Army->Increase Closing-in speed->Increase Opponenent Weapons,FUNC_NA,TRAN_NA,5,1.2,6,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
740,User->Battle Scene->Increase Number of Army->Battle,EI,CTRL|DM|EI,4,0.75,3,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
741,User->Battle Scene->Increase Number of Army->Achievements,EI,CTRL|DM|EI,4,0.75,3,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
742,User->Battle Scene->Increase Number of Army->User Master,EI,CTRL|DM|EI,4,0.75,3,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
743,User->Battle Scene->Increase Closing-in speed->Increase Opponenent Weapons,FUNC_NA,TRAN_NA,4,1.25,5,Increase Difficulty accordingly,Increase Difficulty accordingly,s17_tikiman_go
744,User->ScoreCards->Retrieve Score->Battle,FUNC_NA,TRAN_NA,4,0.75,3,Get Score,Get Score,s17_tikiman_go
745,User->ScoreCards->Retrieve Score->USer Master,FUNC_NA,TRAN_NA,4,0.75,3,Get Score,Get Score,s17_tikiman_go
746,User->Ar Mode->if in Hawaii->Check Location->If not in Hawaii,FUNC_NA,TRAN_NA,5,1.2,6,Render Battle scene,Render Battle scene,s17_tikiman_go
747,User->VR mode->If not in Hawaii,FUNC_NA,TRAN_NA,3,1,3,Render Battle scene,Render Battle scene,s17_tikiman_go
748,Location->Check Location->If not in Hawaii,FUNC_NA,TRAN_NA,3,1.3333333333333333,4,Render Battle scene,Render Battle scene,s17_tikiman_go
749,Army men ->Get army information->Enemy,FUNC_NA,TRAN_NA,3,0.6666666666666666,2,Render Army,Render Army,s17_tikiman_go
750,User->Minimap ->Update Minimap,FUNC_NA,TRAN_NA,3,0.6666666666666666,2,Render Minimap,Render Minimap,s17_tikiman_go
751,User->Minimap ->Check if the enemy is hit with the balll,FUNC_NA,TRAN_NA,3,0.6666666666666666,2,Render Minimap,Render Minimap,s17_tikiman_go
752,User->Single Weapon ->Flick Weapon->Decrease inventory count->Weapons Inventory,EI,CTRL|DM|EI,5,1,5,Use Weapon,Use Weapon,s17_tikiman_go
753,User->Single Weapon ->Flick Weapon->Check if weapon availble->Weapons Inventory,EI,CTRL|DM|EI,5,1,5,Use Weapon,Use Weapon,s17_tikiman_go
754,User->Army Men->Increase Speed->Algorithm->Get level->User Account,EI,CTRL|DM|EI,6,1,6,Increase difficulty ,Increase difficulty ,s17_tikiman_go
755,User->Army Men->Increase Speed->Algorithm->Get Number of tikimen killed in that round,FUNC_NA,TRAN_NA,5,1,5,Increase difficulty ,Increase difficulty ,s17_tikiman_go
756,User->Army Men->Increase Speed->Algorithm->Increase Number of spawn,FUNC_NA,TRAN_NA,5,1.2,6,Increase difficulty ,Increase difficulty ,s17_tikiman_go
757,User->Army Men->Increase Speed->Algorithm->Time Elapsed,FUNC_NA,TRAN_NA,5,1,5,Increase difficulty ,Increase difficulty ,s17_tikiman_go
758,User->Army Men->Increase Number of spawn,FUNC_NA,TRAN_NA,3,1.3333333333333333,4,Increase difficulty ,Increase difficulty ,s17_tikiman_go
759,User->Weapons Bar->Display weapons->Choose a main weapon,FUNC_NA,TRAN_NA,4,1.25,5,Change Weapon,Change Weapon,s17_tikiman_go
760,User->Single weapon->Choose a main weapon,FUNC_NA,TRAN_NA,3,1,3,Change Weapon,Change Weapon,s17_tikiman_go
761,Check if weapon availble->Display weapons->Choose a main weapon,FUNC_NA,TRAN_NA,3,1.3333333333333333,4,Change Weapon,Change Weapon,s17_tikiman_go
762,User->Display score at end of battle->Calculate Score->Update Database->User Account,EQ,CTRL|INT,5,1,5,Calculate score ,Calculate score ,s17_tikiman_go
763,Count the number of enemies killed->Calculate Score->Update Database->User Account,FUNC_NA,TRAN_NA,4,1,4,Calculate score ,Calculate score ,s17_tikiman_go
764,Insurance Agent->List of reports screen->Select Report->Display Report->Bad Dirver Report->Review Report,FUNC_NA,TRAN_NA,6,1.1666666666666667,7,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
765,Insurance Agent->List of reports screen->Select Report->Display Report->Bad Dirver Report->Bad Driver Database,FUNC_NA,TRAN_NA,6,1,6,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
766,Insurance Agent->Enter License Plate# Screen->Query for report by license plate #->List of reports screen,EQ,CTRL|INT,4,1.25,5,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
767,License lace # database associated with Bad Drivers->Query for report by license plate #->List of reports screen,FUNC_NA,TRAN_NA,3,1.3333333333333333,4,Query bad driver reporting DB,Query bad driver reporting DB,s16_bad_driver
768,Report Poster->Enter License Plate# Screen->Capture Image,FUNC_NA,TRAN_NA,3,1.3333333333333333,4,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB,s16_bad_driver
