id,path,functional,transactional,path_length,avg_degree,arch_diff,diagram,use_case,model
143,EventBrite->receive payment result->Send out confirmation email->registration success,FUNC_NA,CTRL|EXTCLL|INT,4,1.5,6,Register course,Register course,F14a_sharethetraining_com
144,Attendee->Course detail page->Display review page->Review page,EQ,CTRL|INT,4,1,4,Review course,Review course,F14a_sharethetraining_com
145,Attendee->Review page->Redirect to home page->Home page,EQ,CTRL|INT,4,1.25,5,Review course,Review course,F14a_sharethetraining_com
146,Attendee->Review page->Update cours information in db->Cours information update success message,EQ,CTRL|INT,4,1.5,6,Review course,Review course,F14a_sharethetraining_com
147,Attendee->Review page->Update cours information in db->Course,EI,CTRL|DM|EI,4,1.25,5,Review course,Review course,F14a_sharethetraining_com
148,User->operation selection panel->Query business by options->business list,EQ,CTRL|INT,4,1.5,6,Search Business,Search Business,F14a_tipsure_com
149,User->operation selection panel->Query business by options->business,EI,CTRL|DM|EI,4,1.5,6,Search Business,Search Business,F14a_tipsure_com
150,User->operation selection panel->Query business by options->No result found message,EQ,CTRL|INT,4,1.5,6,Search Business,Search Business,F14a_tipsure_com
151,User->business list->Query business information->business,EI,CTRL|DM|EI,4,1.25,5,Search Business,Search Business,F14a_tipsure_com
152,User->No result found message->redirect to search panel->operation selection panel,EQ,CTRL|INT,4,1.5,6,Search Business,Search Business,F14a_tipsure_com
153,User->Home page->display selection panel->operation selection panel,EQ,CTRL|INT,4,1.25,5,Search Business,Search Business,F14a_tipsure_com
154,User->Add a business button->display add business page->business input information,EQ,CTRL|INT,4,1.25,5,Add a new business,Add a new business,F14a_tipsure_com
155,User->business input information->save business information for verification->business,EI,CTRL|DM|EI,4,2,8,Add a new business,Add a new business,F14a_tipsure_com
156,Admin->business info->save the approval status of the business->business,EI,CTRL|DM|EI,4,1.75,7,Add a new business,Add a new business,F14a_tipsure_com
157,Admin->business list->query information for a specific business->business,EI,CTRL|DM|EI,4,1.75,7,Add a new business,Add a new business,F14a_tipsure_com
158,Admin->business list->query information for a specific business->business info,EQ,CTRL|INT,4,1.25,5,Add a new business,Add a new business,F14a_tipsure_com
159,display added business page->business list->query information for a specific business->business,FUNC_NA,TRAN_NA,4,1.75,7,Add a new business,Add a new business,F14a_tipsure_com
160,display added business page->business list->query information for a specific business->business info,FUNC_NA,TRAN_NA,4,1.25,5,Add a new business,Add a new business,F14a_tipsure_com
161,User->Register button->display registration page->registration page,EQ,CTRL|INT,4,1.25,5,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
162,User->registration page->save information for verification->registration information,EI,CTRL|DM|EI,4,2,8,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
163,Admin->list of registrations->Query registration detail->Registration Detail,EQ,CTRL|INT,4,1.25,5,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
164,Admin->list of registrations->Query registration detail->registration information,EI,CTRL|DM|EI,4,1.75,7,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
165,Admin->registration button->display registratiion requests->registration information,EI,CTRL|DM|EI,4,1.5,6,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
166,Admin->registration button->display registratiion requests->list of registrations,EQ,CTRL|INT,4,1,4,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
167,Admin->Registration Detail->save the approval status of registration->registration information,EI,CTRL|DM|EI,4,1.75,7,Business Owner Registration,Business Owner Registration,F14a_tipsure_com
168,User->claim page->save claim information for verification->claim information,EI,CTRL|DM|EI,4,2,8,Business Claim,Business Claim,F14a_tipsure_com
169,User->Claim button->display claim page->claim page,EQ,CTRL|INT,4,1,4,Business Claim,Business Claim,F14a_tipsure_com
170,Admin->load claims button->display claims requests->claim information,EI,CTRL|DM|EI,4,1.75,7,Business Claim,Business Claim,F14a_tipsure_com
171,Admin->load claims button->display claims requests->list of claims,EQ,CTRL|INT,4,1,4,Business Claim,Business Claim,F14a_tipsure_com
172,Admin->Claim Detail->save the approval status of claim->claim information,EI,CTRL|DM|EI,4,2,8,Business Claim,Business Claim,F14a_tipsure_com
173,Admin->Claim Detail->save the approval status of claim->remove claim information->claim information,EI,CTRL|DM|EI,5,1.8,9,Business Claim,Business Claim,F14a_tipsure_com
174,Admin->list of claims->Query claim detail->claim information,EI,CTRL|DM|EI,4,2,8,Business Claim,Business Claim,F14a_tipsure_com
175,Admin->list of claims->Query claim detail->Claim Detail,EQ,CTRL|INT,4,1.25,5,Business Claim,Business Claim,F14a_tipsure_com
176,User->traverl tipping guides button->display Tipping Guide Page->Tipping guide page,EQ,CTRL|INT,4,1,4,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
177,User->Tipping guide page->search for relevant information online->Internet browser,FUNC_NA,CTRL|EXTIVK,4,1,4,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
178,User->Tipping guide page->search for relevant information online->display added business page->pdf file,EI,CTRL|DM|EI,5,1,5,Travel Tipping Guides,Travel Tipping Guides,F14a_tipsure_com
179,User->tip calculator  button->display tip calculator page->tip calculator page,EQ,CTRL|INT,4,1,4,Use Tip Calculator,Use Tip Calculator,F14a_tipsure_com
180,User->Ask a question button->display ask a question form->question form,EQ,CTRL|INT,4,1,4,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
181,User->question form->save questions->questions,EI,CTRL|DM|EI,4,1.25,5,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
182,Client->load questions button->load questions->create a response button,EQ,CTRL|INT,4,1.5,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
183,Client->load questions button->load questions->questions,EI,CTRL|DM|EI,4,1.25,5,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
184,Client->create a response button->check if the question is already answered->display create a response page->create a response page,EQ,CTRL|INT,5,1.6,8,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
185,Client->create a response button->check if the question is already answered->Send notification->notification,EI,CTRL|DM|EI,5,1.2,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
186,Client->create a response button->check if the question is already answered->response,EI,CTRL|DM|EI,4,1.5,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
187,Client->create a response page->save the response to db->response,EI,CTRL|DM|EI,4,1.5,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
188,Admin->load questions button->load questions->create a response button,EQ,CTRL|INT,4,1.5,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
189,Admin->load questions button->load questions->questions,EI,CTRL|DM|EI,4,1.25,5,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
190,Admin->create a response page->save the response to db->response,EI,CTRL|DM|EI,4,1.5,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
191,Admin->create a response button->check if the question is already answered->display create a response page->create a response page,EQ,CTRL|INT,5,1.6,8,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
192,Admin->create a response button->check if the question is already answered->Send notification->notification,EI,CTRL|DM|EI,5,1.2,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
193,Admin->create a response button->check if the question is already answered->response,EI,CTRL|DM|EI,4,1.5,6,Submit questions and responses,Submit questions and responses,F14a_tipsure_com
