Project,Author,Commit,Date
RufusCuffLauncher,Kan Qi,0ae78f8,20150320
RufusCuffLauncher,Kan Qi,35b0037,20150313
RufusCuffLauncher-1,Kan Qi,cdf2c8e,20150217
RufusCuffLauncher-1,Kan Qi,cd4aeea,20150217
RufusCuffLauncher-1,Kan Qi,f9010e8,20150202
RufusCuffLauncher-1,Kan Qi,a3eb9b2,20141216
RufusCuffLauncher-1,Kan Qi,45e264d,20141216
RufusCuffLauncher-1,Kan Qi,696cdb9,20141212
RufusCuffLauncher-1,Kan Qi,714597f,20141125
RufusCuffLauncher-1,Kan Qi,f76eae6,20141125
RufusCuffLauncher-1,Kan Qi,0eb9b2e,20140912
RufusCuffLauncher-1,Kan Qi,df95da0,20140912
RufusCuffLauncher-1,Kan Qi,b5ddea5,20140911
RufusCuffLauncher-1,Kan Qi,87b638b,20140829
RufusCuffLauncher-1,Kan Qi,2a8161d,20140828
RufusCuffProtocolBuffers,Garland Chen,d4f22d7,20150220
RufusCuffProtocolBuffers,Garland Chen,f9b5050,20150220
RufusCuffProtocolBuffers,Garland Chen,e19b933,20150220
RufusCuffProtocolBuffers,Garland Chen,4875d43,20150214
RufusCuffProtocolBuffers,Garland Chen,c368da5,20150213
RufusCuffProtocolBuffers,Garland Chen,269294d,20150202
RufuslabsUpdateService,Kan Qi,ae9d9e6,20160911
RufuslabsUpdateService,Kan Qi,9c9dbcd,20160629
RufuslabsUpdateService,Kan Qi,c41652a,20160629
RufuslabsUpdateService,Kan Qi,386fb9f,20160629
RufuslabsUpdateService,Kan Qi,ba48ba6,20160628
RufuslabsUpdateService,Kan Qi,6edd7e4,20160628
RufuslabsUpdateService,Kan Qi,b2f086e,20160111
RufuslabsUpdateService,Kan Qi,588ff0d,20160110
RufuslabsUpdateService,Kan Qi,fb2ed6f,20160110
RufuslabsUpdateService,Kan Qi,74699c6,20160109
RufuslabsUpdateService,Kan Qi,1cdf275,20160109
RufuslabsUpdateService,Kan Qi,6ef3e6e,20160109
RufuslabsUpdateService,Kan Qi,becbb48,20160108
RufuslabsUpdateService,Kan Qi,3c06a71,20160108
RufuslabsUpdateService,Kan Qi,9fd1117,20160108
RufuslabsUpdateService,Kan Qi,74fc0ad,20160108
RufuslabsUpdateService,Kan Qi,4d5abda,20160107
RufuslabsUpdateService,Kan Qi,2359232,20160107
RufuslabsUpdateService,Kan Qi,2353ead,20160106
RufuslabsUpdateService,Kan Qi,c4267ad,20160106
RufuslabsUpdateService,Kan Qi,ad16467,20160106
RufuslabsUpdateService,Kan Qi,11cf3f9,20160106
RufuslabsUpdateService,Kan Qi,d037422,20160105
RufuslabsUpdateService,Kan Qi,eab8a56,20160105
RufuslabsUpdateService,Kan Qi,9180639,20160105
RufuslabsUpdateService,Kan Qi,70cd060,20160105
RufuslabsUpdateService,Kan Qi,6c28a0f,20151212
RufuslabsUpdateService,Kan Qi,796ef79,20151215
RufuslabsUpdateService,Kan Qi,5395dc1,20151215
RufuslabsUpdateService,Kan Qi,1c57327,20151215
