id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
50,Administrator:Edit project option-->Edit project option:display edit project screen-->display edit project screen:Edit project screen-->Edit project screen:Verify default user list-->Verify default user list:invalid user info toast,Edit project,5,0,2,3,0
51,Administrator:Edit project option-->Edit project option:display edit project screen-->display edit project screen:meeting,Edit project,3,1,0,2,0
52,Administrator:Edit project screen-->Edit project screen:Verify default user list-->Verify default user list:save project info-->save project info:project,Edit project,4,0,1,3,0
53,Administrator:Edit project screen-->Edit project screen:Verify default user list-->Verify default user list:invalid user info toast,Edit project,3,0,2,1,0
54,Administrator:invalid user info toast,Edit project,1,0,1,0,0
55,Administrator:generate meeting log-->generate meeting log:query meetings by project-->query meetings by project:Meeting list-->Meeting list:export meeting-->export meeting:meetings,Generate log,5,5,0,0,0
56,Administrator:generate meeting log-->generate meeting log:query meetings by project-->query meetings by project:Meeting list-->Meeting list:export meeting-->export meeting:pdf,Generate log,5,4,0,1,0
57,Administrator:generate meeting log-->generate meeting log:query meetings by project-->query meetings by project:meetings,Generate log,3,3,0,0,0
58,Administrator:generate meeting log-->generate meeting log:query meetings by project-->query meetings by project:no meeting error page,Generate log,3,3,0,0,0
59,Administrator:Meeting list-->Meeting list:export meeting-->export meeting:meetings,Generate log,3,3,0,0,0
60,Administrator:Meeting list-->Meeting list:export meeting-->export meeting:pdf,Generate log,3,2,0,1,0
61,Administrator:no meeting error page,Generate log,1,1,0,0,0
62,User:Administrator dashboard,Login,1,0,1,0,0
63,User:Login page-->Login page:verify login information-->verify login information:Login Error Page,Login,3,2,1,0,0
64,User:Login page-->Login page:verify login information-->verify login information:Select project page-->Select project page:retrieve project information-->retrieve project information:Administrator dashboard,Login,5,2,3,0,0
65,User:Login page-->Login page:verify login information-->verify login information:Select project page-->Select project page:retrieve project information-->retrieve project information:project info,Login,5,2,3,0,0
66,User:Login page-->Login page:verify login information-->verify login information:general user dashboard,Login,3,1,2,0,0
67,User:Login page-->Login page:verify login information-->verify login information:user info,Login,3,1,2,0,0
68,User:Login Error Page,Login,1,1,0,0,0
69,User:Select project page-->Select project page:retrieve project information-->retrieve project information:Administrator dashboard,Login,3,1,2,0,0
70,User:Select project page-->Select project page:retrieve project information-->retrieve project information:project info,Login,3,1,2,0,0
71,User:general user dashboard,Login,1,0,1,0,0
72,Administrator:empty publish meeting screen,Publish Meeting,1,0,1,0,0
73,Administrator:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:Meetings,Publish Meeting,3,3,0,0,0
74,Administrator:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:empty publish meeting screen,Publish Meeting,3,2,1,0,0
75,Administrator:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:send messages to attendees list-->send messages to attendees list:attendee list,Publish Meeting,4,4,0,0,0
76,Administrator:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:attendee list,Publish Meeting,3,3,0,0,0
77,Administrator:Administrator's dashboard-->Administrator's dashboard:display publish meetings screen-->display publish meetings screen:Meetings,Publish Meeting,3,1,2,0,0
78,Administrator:Administrator's dashboard-->Administrator's dashboard:display publish meetings screen-->display publish meetings screen:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:Meetings,Publish Meeting,5,3,2,0,0
79,Administrator:Administrator's dashboard-->Administrator's dashboard:display publish meetings screen-->display publish meetings screen:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:empty publish meeting screen,Publish Meeting,5,2,3,0,0
80,Administrator:Administrator's dashboard-->Administrator's dashboard:display publish meetings screen-->display publish meetings screen:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:send messages to attendees list-->send messages to attendees list:attendee list,Publish Meeting,6,4,2,0,0
81,Administrator:Administrator's dashboard-->Administrator's dashboard:display publish meetings screen-->display publish meetings screen:meeting list and push lish options-->meeting list and push lish options:Update meetings status-->Update meetings status:attendee list,Publish Meeting,5,3,2,0,0
82,Administrator:meeting publish button-->meeting publish button:publish meeting-->publish meeting:meeting,Send notification,3,3,0,0,0
83,Administrator:meeting publish button-->meeting publish button:publish meeting-->publish meeting:send notification-->send notification:notification,Send notification,4,2,2,0,0
84,User:Task list with comment box-->Task list with comment box:add comment-->add comment:comment,Send notification,3,0,3,0,0
85,User:Task list with comment box-->Task list with comment box:add comment-->add comment:send notification-->send notification:notification,Send notification,4,0,4,0,0
86,Admin:View user registration info-->View user registration info:approve user registration-->approve user registration:user info,Signup,3,0,3,0,0
87,User:Notification of unsuccessful registration,Signup,1,1,0,0,0
88,User:Invalid information,Signup,1,0,1,0,0
89,User:sign up page-->sign up page:save user info for admin-->save user info for admin:Display error message-->Display error message:Invalid information,Signup,4,1,3,0,0
90,User:sign up page-->sign up page:save user info for admin-->save user info for admin:Notification of unsuccessful registration,Signup,3,2,1,0,0
91,User:sign up page-->sign up page:save user info for admin-->save user info for admin:User info already created,Signup,3,1,2,0,0
92,User:sign up page-->sign up page:save user info for admin-->save user info for admin:View user registration info-->View user registration info:approve user registration-->approve user registration:user info,Signup,5,1,4,0,0
93,User:sign up page-->sign up page:save user info for admin-->save user info for admin:notification of successful registration,Signup,3,2,1,0,0
94,User:sign up page-->sign up page:save user info for admin-->save user info for admin:user info,Signup,3,1,2,0,0
95,User:sign up page-->sign up page:select admin option-->select admin option:save user info for admin-->save user info for admin:Display error message-->Display error message:Invalid information,Signup,5,2,3,0,0
96,User:sign up page-->sign up page:select admin option-->select admin option:save user info for admin-->save user info for admin:Notification of unsuccessful registration,Signup,4,3,1,0,0
97,User:sign up page-->sign up page:select admin option-->select admin option:save user info for admin-->save user info for admin:User info already created,Signup,4,2,2,0,0
98,User:sign up page-->sign up page:select admin option-->select admin option:save user info for admin-->save user info for admin:View user registration info-->View user registration info:approve user registration-->approve user registration:user info,Signup,6,2,4,0,0
99,User:sign up page-->sign up page:select admin option-->select admin option:save user info for admin-->save user info for admin:notification of successful registration,Signup,4,3,1,0,0
