d,path,useCase,transactional,tran_length,total_degree, TL, DETs, TD, arch_diff
29,stl#Actor:view photo->Actor:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Can't access server->Can't access server:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete,Delete uploaded photos,TRAN_NA,13,1.25,13,12,1.25,16.25
30,stl#Actor:My photos screen->Actor:My photos screen->My photos screen:get my upload,Delete uploaded photos,TRAN_NA,3,7.5,3,12,7.5,22.5
31,stl#Actor:My photos screen->Actor:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:get my upload,Delete uploaded photos,TRAN_NA,11,1.5,11,14,1.5,16.5
32,stl#Actor:My photos screen->Actor:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:failed to delete->failed to delete:Result,Delete uploaded photos,TRAN_NA,12,1.363636364,12,7,1.363636364,16.36363636
33,stl#Actor:My photos screen->Actor:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Delete finished->Delete finished:Result,Delete uploaded photos,TRAN_NA,12,1.363636364,12,2,1.363636364,16.36363636
34,stl#Actor:My photos screen->Actor:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Can't access server->Can't access server:My photos screen->My photos screen:Prepare photos,Delete uploaded photos,TRAN_NA,13,1.25,13,11,1.25,16.25
35,stl#Actor:My photos screen->Actor:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Can't access server->Can't access server:My photos screen->My photos screen:get my upload,Delete uploaded photos,TRAN_NA,13,1.25,13,11,1.25,16.25
36,stl#Actor:Confirm page->Actor:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:get my upload,Delete uploaded photos,TRAN_NA,5,3.75,5,7,3.75,18.75
37,stl#Actor:Confirm page->Actor:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:failed to delete->failed to delete:Result,Delete uploaded photos,TRAN_NA,6,3,6,9,3,18
38,stl#Actor:Confirm page->Actor:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Delete finished->Delete finished:Result,Delete uploaded photos,TRAN_NA,6,3,6,12,3,18
39,stl#Actor:Confirm page->Actor:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Can't access server->Can't access server:My photos screen->My photos screen:get my upload,Delete uploaded photos,TRAN_NA,7,2.5,7,6,2.5,17.5
40,stl#Actor:Confirm page->Actor:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Can't access server->Can't access server:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete,Delete uploaded photos,TRAN_NA,13,1.25,13,10,1.25,16.25
41,stl#Actor:Photo Collection->Actor:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:get my upload,Delete uploaded photos,TRAN_NA,9,1.875,9,4,1.875,16.875
42,stl#Actor:Photo Collection->Actor:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:failed to delete->failed to delete:Result,Delete uploaded photos,TRAN_NA,10,1.666666667,10,10,1.666666667,16.66666667
43,stl#Actor:Photo Collection->Actor:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Delete finished->Delete finished:Result,Delete uploaded photos,TRAN_NA,10,1.666666667,10,10,1.666666667,16.66666667
44,stl#Actor:Photo Collection->Actor:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Can't access server->Can't access server:My photos screen->My photos screen:get my upload,Delete uploaded photos,TRAN_NA,11,1.5,11,6,1.5,16.5
45,stl#Actor:Photo Collection->Actor:Photo Collection->Photo Collection:Select a photo->Select a photo:view photo->view photo:Delete->Delete:Confirm page->Confirm page:Confirmed delete->Confirmed delete:my upload->my upload:Can't access server->Can't access server:My photos screen->My photos screen:Prepare photos->Prepare photos:Photo Collection->Photo Collection:Select a photo,Delete uploaded photos,TRAN_NA,13,1.25,13,13,1.25,16.25
46,stl#Actor:Result->Actor:Result,Delete uploaded photos,CTRL,2,15,2,15,15,30
47,stl#Actor:Result->Actor:Result,Delete uploaded photos,EXTCLL,2,15,2,9,15,30
48,stl#Actor:Result->Actor:Result,Delete uploaded photos,INT,2,15,2,11,15,30
1,stl#User:Photo Selected Screen->User:Photo Selected Screen->Photo Selected Screen:Download photo to Device->Download photo to Device:Server,Downoad Photos to Device,TRAN_NA,4,5,4,8,5,20
2,stl#User:Photo Selected Screen->User:Photo Selected Screen->Photo Selected Screen:Download photo to Device->Download photo to Device:Handle download error->Handle download error:Photo Selected Screen->Photo Selected Screen:Download photo to Device,Downoad Photos to Device,TRAN_NA,6,3,6,5,3,18
3,stl#User:Photo Selected Screen->User:Photo Selected Screen->Photo Selected Screen:Download photo to Device->Download photo to Device:Handle download success->Handle download success:Photo Selected Screen->Photo Selected Screen:Download photo to Device,Downoad Photos to Device,TRAN_NA,6,3,6,8,3,18
4,stl#Actor:Photo Selected Screen->Actor:Photo Selected Screen->Photo Selected Screen:Download photo to Device->Download photo to Device:Server,Downoad Photos to Device,TRAN_NA,4,5,4,10,5,20
5,stl#Actor:Photo Selected Screen->Actor:Photo Selected Screen->Photo Selected Screen:Download photo to Device->Download photo to Device:Handle download error->Handle download error:Photo Selected Screen->Photo Selected Screen:Download photo to Device,Downoad Photos to Device,TRAN_NA,6,3,6,8,3,18
6,stl#Actor:Photo Selected Screen->Actor:Photo Selected Screen->Photo Selected Screen:Download photo to Device->Download photo to Device:Handle download success->Handle download success:Photo Selected Screen->Photo Selected Screen:Download photo to Device,Downoad Photos to Device,TRAN_NA,6,3,6,8,3,18
1,stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Verify Password->Verify Password:User Collection,Log In to Account,TRAN_NA,5,3.75,5,16,3.75,18.75
2,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Verify Password->Verify Password:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log In to Account,TRAN_NA,7,2.5,7,7,2.5,17.5
3,stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Verify Password->Verify Password:Account,Log In to Account,TRAN_NA,5,3.75,5,16,3.75,18.75
4,stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:User Collection,Log In to Account,TRAN_NA,4,5,4,14,5,20
5,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log In to Account,TRAN_NA,6,3,6,11,3,18
6,stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Verify Password->Verify Password:User Collection,Log In to Account,TRAN_NA,5,3.75,5,10,3.75,18.75
7,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Verify Password->Verify Password:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log In to Account,TRAN_NA,7,2.5,7,11,2.5,17.5
8,stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Verify Password->Verify Password:Account,Log In to Account,TRAN_NA,5,3.75,5,7,3.75,18.75
9,stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:User Collection,Log In to Account,TRAN_NA,4,5,4,9,5,20
10,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log In to Account,TRAN_NA,6,3,6,12,3,18
1,stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Verify Username,Log Out of Account,TRAN_NA,5,3.75,5,13,3.75,18.75
2,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,7,2.5,17.5
3,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log Out of Account,TRAN_NA,7,2.5,7,19,2.5,17.5
4,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log Out of Account,TRAN_NA,6,3,6,8,3,18
5,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,14,2.5,17.5
6,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen",Log Out of Account,TRAN_NA,5,3.75,5,12,3.75,18.75
7,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,4,2.5,17.5
8,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Verify Username",Log Out of Account,TRAN_NA,7,2.5,7,6,2.5,17.5
9,"stl#User:Log In Screen->User:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,10,2.5,17.5
10,stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Verify Username,Log Out of Account,TRAN_NA,5,3.75,5,7,3.75,18.75
11,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,12,2.5,17.5
12,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log Out of Account,TRAN_NA,7,2.5,7,13,2.5,17.5
13,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username",Log Out of Account,TRAN_NA,6,3,6,7,3,18
14,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,7,2.5,17.5
15,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen",Log Out of Account,TRAN_NA,5,3.75,5,10,3.75,18.75
16,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,10,2.5,17.5
17,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username->Verify Username:Log In Screen->Log In Screen:Verify Username",Log Out of Account,TRAN_NA,7,2.5,7,6,2.5,17.5
18,"stl#Actor:Log In Screen->Actor:Log In Screen->Log In Screen:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen->Log In Screen:Verify Username->Verify Username:Display pop-p ""Authentication Failed"" on Log In Screen->Display pop-p ""Authentication Failed"" on Log In Screen:Log In Screen",Log Out of Account,TRAN_NA,7,2.5,7,11,2.5,17.5
1,stl#User:delete expired location photos automatically->User:delete expired location photos automatically,Navigation,CTRL,2,15,2,17,15,30
2,stl#User:confirm->User:confirm,Navigation,CTRL,2,15,2,8,15,30
3,stl#User:confirm->User:confirm,Navigation,EXTCLL,2,15,2,8,15,30
4,stl#User:confirm->User:confirm,Navigation,INT,2,15,2,9,15,30
5,stl#User:Navigation bar->User:Navigation bar->Navigation bar:Tap a icon on navigation bar->Tap a icon on navigation bar:is  user logged in?->is  user logged in?:display search screen->display search screen:search screen,Navigation,TRAN_NA,6,3,6,13,3,18
6,stl#User:Navigation bar->User:Navigation bar->Navigation bar:Tap a icon on navigation bar->Tap a icon on navigation bar:is  user logged in?->is  user logged in?:display profile screen->display profile screen:profile screen,Navigation,TRAN_NA,6,3,6,0,3,18
7,stl#User:Navigation bar->User:Navigation bar->Navigation bar:Tap a icon on navigation bar->Tap a icon on navigation bar:is  user logged in?->is  user logged in?:display photo screen->display photo screen:Photo screen,Navigation,TRAN_NA,6,3,6,14,3,18
8,stl#User:Navigation bar->User:Navigation bar->Navigation bar:Tap a icon on navigation bar->Tap a icon on navigation bar:is  user logged in?->is  user logged in?:display event screen->display event screen:event screen,Navigation,TRAN_NA,6,3,6,8,3,18
9,stl#User:Navigation bar->User:Navigation bar->Navigation bar:Tap a icon on navigation bar->Tap a icon on navigation bar:is  user logged in?->is  user logged in?:display  log in screen->display  log in screen:Log in screen,Navigation,TRAN_NA,6,3,6,13,3,18
10,stl#User:view photo->User:view photo,Navigation,CTRL,2,15,2,3,15,30
11,stl#User:view photo->User:view photo,Navigation,EXTCLL,2,15,2,13,15,30
12,stl#User:view photo->User:view photo,Navigation,INT,2,15,2,4,15,30
13,stl#User:Log In Screen->User:Log In Screen,Navigation,CTRL,2,15,2,16,15,30
14,stl#User:Log In Screen->User:Log In Screen,Navigation,EXTCLL,2,15,2,11,15,30
15,stl#User:Log In Screen->User:Log In Screen,Navigation,INT,2,15,2,16,15,30
16,stl#User:Admin page->User:Admin page,Navigation,CTRL,2,15,2,10,15,30
17,stl#User:Admin page->User:Admin page,Navigation,EXTCLL,2,15,2,7,15,30
18,stl#User:Admin page->User:Admin page,Navigation,INT,2,15,2,16,15,30
19,stl#User:My photos screen->User:My photos screen,Navigation,CTRL,2,15,2,10,15,30
20,stl#User:My photos screen->User:My photos screen,Navigation,EXTCLL,2,15,2,12,15,30
21,stl#User:My photos screen->User:My photos screen,Navigation,INT,2,15,2,13,15,30
22,stl#User:Delete Photo Model->User:Delete Photo Model,Navigation,CTRL,2,15,2,8,15,30
23,stl#User:Delete Photo Model->User:Delete Photo Model,Navigation,EXTCLL,2,15,2,7,15,30
24,stl#User:Delete Photo Model->User:Delete Photo Model,Navigation,INT,2,15,2,10,15,30
25,stl#User:upload choice->User:upload choice,Navigation,CTRL,2,15,2,11,15,30
26,stl#User:upload choice->User:upload choice,Navigation,EXTCLL,2,15,2,10,15,30
27,stl#User:upload choice->User:upload choice,Navigation,INT,2,15,2,5,15,30
28,stl#User:Confirm page->User:Confirm page,Navigation,CTRL,2,15,2,12,15,30
29,stl#User:Confirm page->User:Confirm page,Navigation,EXTCLL,2,15,2,12,15,30
30,stl#User:Confirm page->User:Confirm page,Navigation,INT,2,15,2,12,15,30
31,stl#User:my events->User:my events,Navigation,CTRL,2,15,2,8,15,30
32,stl#User:my events->User:my events,Navigation,EXTCLL,2,15,2,10,15,30
33,stl#User:my events->User:my events,Navigation,INT,2,15,2,10,15,30
34,stl#User:result->User:result,Navigation,CTRL,2,15,2,6,15,30
35,stl#User:result->User:result,Navigation,EXTCLL,2,15,2,17,15,30
36,stl#User:result->User:result,Navigation,INT,2,15,2,16,15,30
37,stl#User:Location Screen->User:Location Screen,Navigation,CTRL,2,15,2,12,15,30
38,stl#User:Location Screen->User:Location Screen,Navigation,EXTCLL,2,15,2,16,15,30
39,stl#User:Location Screen->User:Location Screen,Navigation,INT,2,15,2,8,15,30
40,stl#User:camera roll->User:camera roll,Navigation,CTRL,2,15,2,6,15,30
41,stl#User:camera roll->User:camera roll,Navigation,EXTCLL,2,15,2,13,15,30
42,stl#User:camera roll->User:camera roll,Navigation,INT,2,15,2,14,15,30
43,stl#User:upload choice->User:upload choice,Navigation,CTRL,2,15,2,11,15,30
44,stl#User:upload choice->User:upload choice,Navigation,EXTCLL,2,15,2,13,15,30
45,stl#User:upload choice->User:upload choice,Navigation,INT,2,15,2,16,15,30
46,stl#User:photo list->User:photo list,Navigation,CTRL,2,15,2,9,15,30
47,stl#User:photo list->User:photo list,Navigation,EXTCLL,2,15,2,8,15,30
48,stl#User:photo list->User:photo list,Navigation,INT,2,15,2,11,15,30
49,stl#User:Show Empty Result Page->User:Show Empty Result Page,Navigation,CTRL,2,15,2,8,15,30
50,stl#User:Show Empty Result Page->User:Show Empty Result Page,Navigation,EXTCLL,2,15,2,9,15,30
51,stl#User:Show Empty Result Page->User:Show Empty Result Page,Navigation,INT,2,15,2,6,15,30
52,stl#User:Profile Photo Screen->User:Profile Photo Screen,Navigation,CTRL,2,15,2,13,15,30
53,stl#User:Profile Photo Screen->User:Profile Photo Screen,Navigation,EXTCLL,2,15,2,10,15,30
54,stl#User:Profile Photo Screen->User:Profile Photo Screen,Navigation,INT,2,15,2,11,15,30
55,stl#User:current location->User:current location,Navigation,CTRL,2,15,2,0,15,30
56,stl#User:current location->User:current location,Navigation,EXTCLL,2,15,2,11,15,30
57,stl#User:current location->User:current location,Navigation,INT,2,15,2,-1,15,30
58,stl#User:Sign up Screen->User:Sign up Screen,Navigation,CTRL,2,15,2,11,15,30
59,stl#User:Sign up Screen->User:Sign up Screen,Navigation,EXTCLL,2,15,2,15,15,30
60,stl#User:Sign up Screen->User:Sign up Screen,Navigation,INT,2,15,2,6,15,30
61,stl#User:Log In Screen->User:Log In Screen,Navigation,CTRL,2,15,2,8,15,30
62,stl#User:Log In Screen->User:Log In Screen,Navigation,EXTCLL,2,15,2,6,15,30
63,stl#User:Log In Screen->User:Log In Screen,Navigation,INT,2,15,2,8,15,30
64,stl#User:Search Event Homepage->User:Search Event Homepage,Navigation,CTRL,2,15,2,8,15,30
65,stl#User:Search Event Homepage->User:Search Event Homepage,Navigation,EXTCLL,2,15,2,9,15,30
66,stl#User:Search Event Homepage->User:Search Event Homepage,Navigation,INT,2,15,2,13,15,30
67,stl#User:Result->User:Result,Navigation,CTRL,2,15,2,11,15,30
68,stl#User:Result->User:Result,Navigation,EXTCLL,2,15,2,4,15,30
69,stl#User:Result->User:Result,Navigation,INT,2,15,2,4,15,30
70,stl#User:delete photos related to expired events automatically->User:delete photos related to expired events automatically,Navigation,CTRL,2,15,2,2,15,30
71,stl#User:Create Event Screen->User:Create Event Screen,Navigation,CTRL,2,15,2,2,15,30
72,stl#User:Create Event Screen->User:Create Event Screen,Navigation,EXTCLL,2,15,2,14,15,30
73,stl#User:Create Event Screen->User:Create Event Screen,Navigation,INT,2,15,2,6,15,30
74,stl#User:Photo Selected Screen->User:Photo Selected Screen,Navigation,CTRL,2,15,2,3,15,30
75,stl#User:Photo Selected Screen->User:Photo Selected Screen,Navigation,EXTCLL,2,15,2,10,15,30
76,stl#User:Photo Selected Screen->User:Photo Selected Screen,Navigation,INT,2,15,2,12,15,30
77,stl#User:Create Event Screen->User:Create Event Screen,Navigation,CTRL,2,15,2,11,15,30
78,stl#User:Create Event Screen->User:Create Event Screen,Navigation,EXTCLL,2,15,2,16,15,30
79,stl#User:Create Event Screen->User:Create Event Screen,Navigation,INT,2,15,2,9,15,30
80,stl#User:Search box->User:Search box,Navigation,CTRL,2,15,2,15,15,30
81,stl#User:Search box->User:Search box,Navigation,EXTCLL,2,15,2,15,15,30
82,stl#User:Search box->User:Search box,Navigation,INT,2,15,2,9,15,30
83,stl#User:upload choice->User:upload choice,Navigation,CTRL,2,15,2,4,15,30
84,stl#User:upload choice->User:upload choice,Navigation,EXTCLL,2,15,2,9,15,30
85,stl#User:upload choice->User:upload choice,Navigation,INT,2,15,2,12,15,30
86,stl#User:view photo->User:view photo,Navigation,CTRL,2,15,2,4,15,30
87,stl#User:view photo->User:view photo,Navigation,EXTCLL,2,15,2,10,15,30
88,stl#User:view photo->User:view photo,Navigation,INT,2,15,2,13,15,30
89,stl#User:Event list->User:Event list,Navigation,CTRL,2,15,2,19,15,30
90,stl#User:Event list->User:Event list,Navigation,EXTCLL,2,15,2,9,15,30
91,stl#User:Event list->User:Event list,Navigation,INT,2,15,2,14,15,30
92,stl#User:Search Event->User:Search Event,Navigation,CTRL,2,15,2,11,15,30
93,stl#User:Search Event->User:Search Event,Navigation,EXTCLL,2,15,2,9,15,30
94,stl#User:Search Event->User:Search Event,Navigation,INT,2,15,2,13,15,30
95,stl#User:Search Result Page->User:Search Result Page,Navigation,CTRL,2,15,2,6,15,30
96,stl#User:Search Result Page->User:Search Result Page,Navigation,EXTCLL,2,15,2,17,15,30
97,stl#User:Search Result Page->User:Search Result Page,Navigation,INT,2,15,2,10,15,30
98,stl#User:Photo Collection->User:Photo Collection,Navigation,CTRL,2,15,2,12,15,30
99,stl#User:Photo Collection->User:Photo Collection,Navigation,EXTCLL,2,15,2,13,15,30
100,stl#User:Photo Collection->User:Photo Collection,Navigation,INT,2,15,2,19,15,30
101,stl#User:Photo Search Result List View->User:Photo Search Result List View,Navigation,CTRL,2,15,2,10,15,30
102,stl#User:Photo Search Result List View->User:Photo Search Result List View,Navigation,EXTCLL,2,15,2,9,15,30
103,stl#User:Photo Search Result List View->User:Photo Search Result List View,Navigation,INT,2,15,2,10,15,30
104,stl#User:Range Buttons(Default myhome)->User:Range Buttons(Default myhome),Navigation,CTRL,2,15,2,18,15,30
105,stl#User:Range Buttons(Default myhome)->User:Range Buttons(Default myhome),Navigation,EXTCLL,2,15,2,13,15,30
106,stl#User:Range Buttons(Default myhome)->User:Range Buttons(Default myhome),Navigation,INT,2,15,2,13,15,30
107,stl#User:Search Result Page->User:Search Result Page,Navigation,CTRL,2,15,2,8,15,30
108,stl#User:Search Result Page->User:Search Result Page,Navigation,EXTCLL,2,15,2,10,15,30
109,stl#User:Search Result Page->User:Search Result Page,Navigation,INT,2,15,2,13,15,30
110,stl#User:Photo View->User:Photo View,Navigation,CTRL,2,15,2,5,15,30
111,stl#User:Photo View->User:Photo View,Navigation,EXTCLL,2,15,2,4,15,30
112,stl#User:Photo View->User:Photo View,Navigation,INT,2,15,2,9,15,30
113,stl#User:my photo screen->User:my photo screen,Navigation,CTRL,2,15,2,6,15,30
114,stl#User:my photo screen->User:my photo screen,Navigation,EXTCLL,2,15,2,12,15,30
115,stl#User:my photo screen->User:my photo screen,Navigation,INT,2,15,2,7,15,30
116,stl#User:Set Password Screen->User:Set Password Screen,Navigation,CTRL,2,15,2,7,15,30
117,stl#User:Set Password Screen->User:Set Password Screen,Navigation,EXTCLL,2,15,2,8,15,30
118,stl#User:Set Password Screen->User:Set Password Screen,Navigation,INT,2,15,2,12,15,30
119,stl#User:confirm->User:confirm,Navigation,CTRL,2,15,2,10,15,30
120,stl#User:confirm->User:confirm,Navigation,EXTCLL,2,15,2,10,15,30
121,stl#User:confirm->User:confirm,Navigation,INT,2,15,2,13,15,30
122,stl#User:Event Screen->User:Event Screen,Navigation,CTRL,2,15,2,4,15,30
123,stl#User:Event Screen->User:Event Screen,Navigation,EXTCLL,2,15,2,8,15,30
124,stl#User:Event Screen->User:Event Screen,Navigation,INT,2,15,2,8,15,30
125,stl#User:User list->User:User list,Navigation,CTRL,2,15,2,7,15,30
126,stl#User:User list->User:User list,Navigation,EXTCLL,2,15,2,9,15,30
127,stl#User:User list->User:User list,Navigation,INT,2,15,2,11,15,30
128,stl#User:Admin page->User:Admin page,Navigation,CTRL,2,15,2,13,15,30
129,stl#User:Admin page->User:Admin page,Navigation,EXTCLL,2,15,2,10,15,30
130,stl#User:Admin page->User:Admin page,Navigation,INT,2,15,2,18,15,30
131,stl#User:Create Event Screen->User:Create Event Screen,Navigation,CTRL,2,15,2,6,15,30
132,stl#User:Create Event Screen->User:Create Event Screen,Navigation,EXTCLL,2,15,2,9,15,30
133,stl#User:Create Event Screen->User:Create Event Screen,Navigation,INT,2,15,2,16,15,30
134,stl#User:upload choice->User:upload choice,Navigation,CTRL,2,15,2,10,15,30
135,stl#User:upload choice->User:upload choice,Navigation,EXTCLL,2,15,2,13,15,30
136,stl#User:upload choice->User:upload choice,Navigation,INT,2,15,2,11,15,30
137,stl#User:Search box->User:Search box,Navigation,CTRL,2,15,2,9,15,30
138,stl#User:Search box->User:Search box,Navigation,EXTCLL,2,15,2,7,15,30
139,stl#User:Search box->User:Search box,Navigation,INT,2,15,2,9,15,30
140,stl#User:Event Screen->User:Event Screen,Navigation,CTRL,2,15,2,13,15,30
