id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
88,User:Logout page-->Logout page:Validate usename and password -->Validate usename and password :End session-->End session:Show confirmation-->Show confirmation:Homepage,Logout,5,2,3,0,0
89,User:Logout page-->Logout page:Validate usename and password -->Validate usename and password :End session-->End session:Show confirmation-->Show confirmation:Logout page-->Logout page:Validate usename and password ,Logout,6,2,4,0,0
90,User:Homepage,Retrieve Password,1,1,0,0,0
91,User:fills out a legitimate  account's id/email -->fills out a legitimate  account's id/email :sends an email to the account's email-->sends an email to the account's email:Show confirmation page-->Show confirmation page:Homepage,Retrieve Password,4,1,1,2,0
92,User:fills out a legitimate  account's id/email -->fills out a legitimate  account's id/email :sends an email to the account's email-->sends an email to the account's email:Show confirmation page-->Show confirmation page:User db,Retrieve Password,4,0,1,3,0
93,User:fills out a legitimate  account's id/email -->fills out a legitimate  account's id/email :sends an email to the account's email-->sends an email to the account's email:Show confirmation page-->Show confirmation page:fills out a legitimate  account's id/email -->fills out a legitimate  account's id/email :sends an email to the account's email,Retrieve Password,5,0,1,4,0
94,User:fills out a legitimate  account's id/email -->fills out a legitimate  account's id/email :sends an email to the account's email-->sends an email to the account's email:show confirmation page-->show confirmation page:Homepage,Retrieve Password,4,1,1,2,0
95,User:selects Forgot Password-->selects Forgot Password:sends an email to the account's email-->sends an email to the account's email:Show confirmation page-->Show confirmation page:Homepage,Retrieve Password,4,2,1,1,0
96,User:selects Forgot Password-->selects Forgot Password:sends an email to the account's email-->sends an email to the account's email:Show confirmation page-->Show confirmation page:User db,Retrieve Password,4,1,1,2,0
97,User:selects Forgot Password-->selects Forgot Password:sends an email to the account's email-->sends an email to the account's email:Show confirmation page-->Show confirmation page:fills out a legitimate  account's id/email -->fills out a legitimate  account's id/email :sends an email to the account's email-->sends an email to the account's email:show confirmation page-->show confirmation page:Homepage,Retrieve Password,7,2,2,3,0
98,User:selects Forgot Password-->selects Forgot Password:sends an email to the account's email-->sends an email to the account's email:Show confirmation page-->Show confirmation page:fills out a legitimate  account's id/email -->fills out a legitimate  account's id/email :sends an email to the account's email-->sends an email to the account's email:Show confirmation page,Retrieve Password,6,1,2,3,0
99,User:selects Forgot Password-->selects Forgot Password:sends an email to the account's email-->sends an email to the account's email:show confirmation page-->show confirmation page:Homepage,Retrieve Password,4,2,1,1,0
100,User:looks through a list of qualified applicants -->looks through a list of qualified applicants :returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Homepage,Schedule Interview,4,2,2,0,0
101,User:looks through a list of qualified applicants -->looks through a list of qualified applicants :returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Interview db,Schedule Interview,4,1,2,1,0
102,User:marks the user as interviewing-->marks the user as interviewing:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Homepage,Schedule Interview,3,2,1,0,0
103,User:marks the user as interviewing-->marks the user as interviewing:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Interview db,Schedule Interview,3,1,1,1,0
104,User:Homepage,Schedule Interview,1,1,0,0,0
105,User:selects the appropriate applicant and views his/her profile-->selects the appropriate applicant and views his/her profile:returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Homepage,Schedule Interview,4,3,1,0,0
106,User:selects the appropriate applicant and views his/her profile-->selects the appropriate applicant and views his/her profile:returns the correct applicant-->returns the correct applicant:modifies the Applicant profile to reflect User's change-->modifies the Applicant profile to reflect User's change:Interview db,Schedule Interview,4,2,1,1,0
107,User:selects the appropriate posting-->selects the appropriate posting:returns all of the applicants who have applied to the position -->returns all of the applicants who have applied to the position :returns the applicants that match the sort/filter-->returns the applicants that match the sort/filter:Homepage,View Applications,4,2,2,0,0
