id,element,useCase,type,component
id,element,useCase,type,component
182,Section conflicts page:Request student detail data,view registered students,control,student data
183,stl#User:Send students detail,view registered students,Stimulus,undefined
184,stl#User:Homepage,view registered students,Stimulus,undefined
185,stl#User:Course reigister page,view registered students,Stimulus,undefined
186,User:Student preference menu,view student progress,boundary,student preference
187,User:Homepage,view student progress,boundary,Displaymessagepage
188,Display progress:Homepage,view student progress,boundary,Displaymessagepage
189,Student preference menu:Display progress,view student progress,control,Student Progress
190,stl#User:Student preference menu,view student progress,Stimulus,undefined
191,stl#User:Homepage,view student progress,Stimulus,undefined
