2019-02-22 14:02:43,362 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963362","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","index":"1","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"}}
2019-02-22 14:02:43,363 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963362","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"},"params":[]}
2019-02-22 14:02:43,363 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963363","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"}}
2019-02-22 14:02:43,364 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963363","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"},"params":[]}
2019-02-22 14:02:43,365 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963365","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.DBHelper.getCount()","index":"1","instance":{"class":"com.danielkim.soundrecorder.DBHelper","hashcode":"85091568"}}
2019-02-22 14:02:43,365 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963365","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"},"params":[]}
2019-02-22 14:02:43,366 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963365","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"}}
2019-02-22 14:02:43,366 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963366","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"},"params":[]}
2019-02-22 14:02:43,367 - [SoundRecorder] - ERROR : Xlog : {"logType":"exit","time":"1550872963366","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.activities.MainActivity$MyAdapter.getCount()","instance":{"class":"com.danielkim.soundrecorder.activities.MainActivity$MyAdapter","hashcode":"162030394"}}
2019-02-22 14:02:43,368 - [SoundRecorder] - ERROR : Xlog : {"logType":"enter","time":"1550872963367","processName":"com.danielkim.soundrecorder","threadName":"main(188874865)","pid":"21929","methodType":"instance_method_type","methodSign":"int com.danielkim.soundrecorder.adapters.FileViewerAdapter.getItemCount()","instance":{"class":"com.danielkim.soundrecorder.adapters.FileViewerAdapter","hashcode":"13748531"},"params":[]}
